mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
12	12	5/8	5/8	6/8	3	1		V64{	Eb	I		V64	V		64				{	M	0	0	2, 1, 5		1	2
13	13	0	0	6/8	3	1		vii%65(2)/V	Eb	I		vii%65(2)/V	vii	%	65	2	V			%7	0	0	3, 0, 4, 1		6	3
13	13	3/8	3/8	6/8	3	1		vii%65/V	Eb	I		vii%65/V	vii	%	65		V			%7	0	0	3, 0, 4, 6		6	3
14	14	0	0	6/8	3	1		V7(94)/V/vi	Eb	I		V7(94)/V/vi	V		7	94	V/vi			Mm7	0	0	5, 4, 6, 3	7	5	5
14	14	1/4	1/4	6/8	3	1		V7/V/vi	Eb	I		V7/V/vi	V		7		V/vi			Mm7	0	0	5, 9, 6, 3		5	5
15	15	0	0	6/8	3	1		V43(6)/vi	Eb	I		V43(6)/vi	V		43	6	vi			Mm7	0	0	0, 2, 4, 8		4	0
15	15	3/8	3/8	6/8	3	1		vi6	Eb	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
16	16	0	0	6/8	3	1		ii2/V	Eb	I		ii2/V	ii		2		V			mm7	0	0	1, 3, 0, 4		3	1
16	16	3/8	3/8	6/8	3	1		V65/V	Eb	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
17	17	0	0	6/8	3	1		V|HC}{	Eb	I		V	V					HC	}{	M	0	0	1, 5, 2		1	1
17	17	3/8	3/8	6/8	3	1		#viio7/ii	Eb	I		#viio7/ii	#vii	o	7		ii			o7	0	0	7, 4, 1, -2		7	7
18	18	0	0	6/8	3	1		V65/V	Eb	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
18	18	3/8	3/8	6/8	3	1		V7/V	Eb	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
19	19	0	0	6/8	3	1		V	Eb	I		V	V							M	0	0	1, 5, 2		1	1
19	19	3/8	3/8	6/8	3	1		#viio65/ii	Eb	I		#viio65/ii	#vii	o	65		ii			o7	0	0	4, 1, -2, 7		7	4
