mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	diminuendo_line	crescendo_hairpin	crescendo_line
2	1	11/6	11/6	0.3333333333333333	1/3	1/3	Chord	4/4	3	1	1/12	1/8	2/3	27									5				
2	1	13/6	13/6	0.3333333333333333	5/12	5/12	Chord	4/4	3	1	1/12	1/8	2/3	28													
2	1	5/2	5/2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	29													
2	1	7/2	7/2	0.5	3/4	3/4	Chord	4/4	3	1	1/8	1/8	1	30													
2	1	4	4	0.5	7/8	7/8	Chord	4/4	3	1	1/8	1/8	1	31													
2	1	5/2	5/2	0.3333333333333333	1/2	1/2	Chord	4/4	3	2	1/12	1/8	2/3	32									6				
2	1	17/6	17/6	0.3333333333333333	7/12	7/12	Chord	4/4	3	2	1/12	1/8	2/3	33									6				
2	1	19/6	19/6	0.3333333333333333	2/3	2/3	Chord	4/4	3	2	1/12	1/8	2/3	34													
2	1	7/2	7/2	0.3333333333333333	3/4	3/4	Chord	4/4	3	2	1/12	1/8	2/3	35									7				
2	1	23/6	23/6	0.3333333333333333	5/6	5/6	Chord	4/4	3	2	1/12	1/8	2/3	36									7				
2	1	25/6	25/6	0.3333333333333333	11/12	11/12	Chord	4/4	3	2	1/12	1/8	2/3	37													
3	2	9/2	9/2	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	38	Nach-												
3	2	11/2	11/2	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	39	-ti-												
3	2	13/2	13/2	1.5	1/2	1/2	Chord	4/4	1	1	3/8	1/4	3/2	40	-gall												
3	2	8	8	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	41	im												
3	2	9/2	9/2	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	42													
3	2	11/2	11/2	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	43													
3	2	13/2	13/2	1.5	1/2	1/2	Chord	4/4	2	1	3/8	1/4	3/2	44													
3	2	8	8	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	45													
3	2	9/2	9/2	0.3333333333333333	0	0	Chord	4/4	2	2	1/12	1/8	2/3	46													
3	2	29/6	29/6	0.3333333333333333	1/12	1/12	Chord	4/4	2	2	1/12	1/8	2/3	47													
3	2	31/6	31/6	0.3333333333333333	1/6	1/6	Chord	4/4	2	2	1/12	1/8	2/3	48													
3	2	11/2	11/2	0.3333333333333333	1/4	1/4	Chord	4/4	2	2	1/12	1/8	2/3	49													
3	2	35/6	35/6	0.3333333333333333	1/3	1/3	Chord	4/4	2	2	1/12	1/8	2/3	50													
3	2	37/6	37/6	0.3333333333333333	5/12	5/12	Chord	4/4	2	2	1/12	1/8	2/3	51													
3	2	13/2	13/2	0.3333333333333333	1/2	1/2	Chord	4/4	2	2	1/12	1/8	2/3	52													
3	2	41/6	41/6	0.3333333333333333	7/12	7/12	Chord	4/4	2	2	1/12	1/8	2/3	53													
3	2	43/6	43/6	0.3333333333333333	2/3	2/3	Chord	4/4	2	2	1/12	1/8	2/3	54													
3	2	15/2	15/2	0.3333333333333333	3/4	3/4	Chord	4/4	2	2	1/12	1/8	2/3	55													
3	2	47/6	47/6	0.3333333333333333	5/6	5/6	Chord	4/4	2	2	1/12	1/8	2/3	56													
3	2	49/6	49/6	0.3333333333333333	11/12	11/12	Chord	4/4	2	2	1/12	1/8	2/3	57													
3	2	9/2	9/2	1.0	0	0	Chord	4/4	3	1	1/4	1/4	1	58													
3	2	11/2	11/2	1.0	1/4	1/4	Chord	4/4	3	1	1/4	1/4	1	59													
3	2	13/2	13/2	1.0	1/2	1/2	Chord	4/4	3	1	1/4	1/4	1	60													
3	2	15/2	15/2	0.3333333333333333	3/4	3/4	Chord	4/4	3	1	1/12	1/8	2/3	61													
3	2	47/6	47/6	0.3333333333333333	5/6	5/6	Chord	4/4	3	1	1/12	1/8	2/3	62													
3	2	49/6	49/6	0.3333333333333333	11/12	11/12	Chord	4/4	3	1	1/12	1/8	2/3	63													
3	2	9/2	9/2	0.3333333333333333	0	0	Chord	4/4	3	2	1/12	1/8	2/3	64													
3	2	29/6	29/6	0.3333333333333333	1/12	1/12	Chord	4/4	3	2	1/12	1/8	2/3	65													
3	2	31/6	31/6	0.3333333333333333	1/6	1/6	Chord	4/4	3	2	1/12	1/8	2/3	66													
3	2	11/2	11/2	0.3333333333333333	1/4	1/4	Chord	4/4	3	2	1/12	1/8	2/3	67													
3	2	35/6	35/6	0.3333333333333333	1/3	1/3	Chord	4/4	3	2	1/12	1/8	2/3	68													
3	2	37/6	37/6	0.3333333333333333	5/12	5/12	Chord	4/4	3	2	1/12	1/8	2/3	69													
3	2	13/2	13/2	0.3333333333333333	1/2	1/2	Chord	4/4	3	2	1/12	1/8	2/3	70													
3	2	41/6	41/6	0.3333333333333333	7/12	7/12	Chord	4/4	3	2	1/12	1/8	2/3	71													
3	2	43/6	43/6	0.3333333333333333	2/3	2/3	Chord	4/4	3	2	1/12	1/8	2/3	72													
4	3	17/2	17/2	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	73	Ro-												
4	3	10	10	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	74	-sen-												
4	3	21/2	21/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	75	-busch												
4	3	23/2	23/2	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	76	und												
4	3	17/2	17/2	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	77													
4	3	10	10	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	78													
4	3	21/2	21/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	79													
4	3	23/2	23/2	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	80													
4	3	17/2	17/2	0.3333333333333333	0	0	Chord	4/4	2	2	1/12	1/8	2/3	81													
4	3	53/6	53/6	0.3333333333333333	1/12	1/12	Chord	4/4	2	2	1/12	1/8	2/3	82													
4	3	55/6	55/6	0.3333333333333333	1/6	1/6	Chord	4/4	2	2	1/12	1/8	2/3	83													
4	3	19/2	19/2	0.3333333333333333	1/4	1/4	Chord	4/4	2	2	1/12	1/8	2/3	84													
4	3	59/6	59/6	0.3333333333333333	1/3	1/3	Chord	4/4	2	2	1/12	1/8	2/3	85													
4	3	61/6	61/6	0.3333333333333333	5/12	5/12	Chord	4/4	2	2	1/12	1/8	2/3	86													
4	3	21/2	21/2	0.3333333333333333	1/2	1/2	Chord	4/4	2	2	1/12	1/8	2/3	87													
4	3	65/6	65/6	0.3333333333333333	7/12	7/12	Chord	4/4	2	2	1/12	1/8	2/3	88													
4	3	67/6	67/6	0.3333333333333333	2/3	2/3	Chord	4/4	2	2	1/12	1/8	2/3	89													
4	3	23/2	23/2	0.3333333333333333	3/4	3/4	Chord	4/4	2	2	1/12	1/8	2/3	90													
4	3	71/6	71/6	0.3333333333333333	5/6	5/6	Chord	4/4	2	2	1/12	1/8	2/3	91													
4	3	73/6	73/6	0.3333333333333333	11/12	11/12	Chord	4/4	2	2	1/12	1/8	2/3	92													
4	3	17/2	17/2	0.3333333333333333	0	0	Chord	4/4	3	1	1/12	1/8	2/3	93													
4	3	53/6	53/6	0.3333333333333333	1/12	1/12	Chord	4/4	3	1	1/12	1/8	2/3	94													
4	3	55/6	55/6	0.3333333333333333	1/6	1/6	Chord	4/4	3	1	1/12	1/8	2/3	95													
4	3	19/2	19/2	0.3333333333333333	1/4	1/4	Chord	4/4	3	1	1/12	1/8	2/3	96													
4	3	59/6	59/6	0.3333333333333333	1/3	1/3	Chord	4/4	3	1	1/12	1/8	2/3	97													
4	3	61/6	61/6	0.3333333333333333	5/12	5/12	Chord	4/4	3	1	1/12	1/8	2/3	98													
4	3	21/2	21/2	0.3333333333333333	1/2	1/2	Chord	4/4	3	1	1/12	1/8	2/3	99													
4	3	65/6	65/6	0.3333333333333333	7/12	7/12	Chord	4/4	3	1	1/12	1/8	2/3	100													
4	3	67/6	67/6	0.3333333333333333	2/3	2/3	Chord	4/4	3	1	1/12	1/8	2/3	101													
4	3	23/2	23/2	0.3333333333333333	3/4	3/4	Chord	4/4	3	1	1/12	1/8	2/3	102													
4	3	71/6	71/6	0.3333333333333333	5/6	5/6	Chord	4/4	3	1	1/12	1/8	2/3	103													
4	3	73/6	73/6	0.3333333333333333	11/12	11/12	Chord	4/4	3	1	1/12	1/8	2/3	104													
5	4	25/2	25/2	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	105	sang;												
5	4	31/2	31/2	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	106	es												
5	4	25/2	25/2	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	107													
5	4	31/2	31/2	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	108													
5	4	25/2	25/2	0.3333333333333333	0	0	Chord	4/4	2	2	1/12	1/8	2/3	109													
5	4	77/6	77/6	0.3333333333333333	1/12	1/12	Chord	4/4	2	2	1/12	1/8	2/3	110													
5	4	79/6	79/6	0.3333333333333333	1/6	1/6	Chord	4/4	2	2	1/12	1/8	2/3	111													
5	4	27/2	27/2	0.3333333333333333	1/4	1/4	Chord	4/4	2	2	1/12	1/8	2/3	112													
5	4	83/6	83/6	0.3333333333333333	1/3	1/3	Chord	4/4	2	2	1/12	1/8	2/3	113													
5	4	85/6	85/6	0.3333333333333333	5/12	5/12	Chord	4/4	2	2	1/12	1/8	2/3	114													
5	4	29/2	29/2	0.3333333333333333	1/2	1/2	Chord	4/4	2	2	1/12	1/8	2/3	115													
5	4	89/6	89/6	0.3333333333333333	7/12	7/12	Chord	4/4	2	2	1/12	1/8	2/3	116													
5	4	91/6	91/6	0.3333333333333333	2/3	2/3	Chord	4/4	2	2	1/12	1/8	2/3	117													
5	4	31/2	31/2	0.3333333333333333	3/4	3/4	Chord	4/4	2	2	1/12	1/8	2/3	118													
5	4	95/6	95/6	0.3333333333333333	5/6	5/6	Chord	4/4	2	2	1/12	1/8	2/3	119													
5	4	97/6	97/6	0.3333333333333333	11/12	11/12	Chord	4/4	2	2	1/12	1/8	2/3	120													
5	4	25/2	25/2	0.3333333333333333	0	0	Chord	4/4	3	1	1/12	1/8	2/3	121													
5	4	77/6	77/6	0.3333333333333333	1/12	1/12	Chord	4/4	3	1	1/12	1/8	2/3	122													
5	4	79/6	79/6	0.3333333333333333	1/6	1/6	Chord	4/4	3	1	1/12	1/8	2/3	123													
5	4	27/2	27/2	0.3333333333333333	1/4	1/4	Chord	4/4	3	1	1/12	1/8	2/3	124													
5	4	83/6	83/6	0.3333333333333333	1/3	1/3	Chord	4/4	3	1	1/12	1/8	2/3	125													
5	4	85/6	85/6	0.3333333333333333	5/12	5/12	Chord	4/4	3	1	1/12	1/8	2/3	126													
5	4	29/2	29/2	0.3333333333333333	1/2	1/2	Chord	4/4	3	1	1/12	1/8	2/3	127													
5	4	89/6	89/6	0.3333333333333333	7/12	7/12	Chord	4/4	3	1	1/12	1/8	2/3	128													
5	4	91/6	91/6	0.3333333333333333	2/3	2/3	Chord	4/4	3	1	1/12	1/8	2/3	129													
5	4	31/2	31/2	0.3333333333333333	3/4	3/4	Chord	4/4	3	1	1/12	1/8	2/3	130													
5	4	95/6	95/6	0.3333333333333333	5/6	5/6	Chord	4/4	3	1	1/12	1/8	2/3	131													
5	4	97/6	97/6	0.3333333333333333	11/12	11/12	Chord	4/4	3	1	1/12	1/8	2/3	132													
6	5	33/2	33/2	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	133	flog												
6	5	18	18	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	134	der												
6	5	37/2	37/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	135	wun-												
6	5	39/2	39/2	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	136	-der-												
6	5	101/6	101/6	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12	1/8	2/3	137													
6	5	103/6	103/6	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12	1/8	2/3	138													
6	5	35/2	35/2	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12	1/8	2/3	139													
6	5	107/6	107/6	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12	1/8	2/3	140													
6	5	109/6	109/6	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12	1/8	2/3	141													
6	5	37/2	37/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	142													
6	5	39/2	39/2	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	143													
6	5	37/2	37/2	0.3333333333333333	1/2	1/2	Chord	4/4	2	2	1/12	1/8	2/3	144													
6	5	113/6	113/6	0.3333333333333333	7/12	7/12	Chord	4/4	2	2	1/12	1/8	2/3	145													
6	5	115/6	115/6	0.3333333333333333	2/3	2/3	Chord	4/4	2	2	1/12	1/8	2/3	146													
6	5	39/2	39/2	0.3333333333333333	3/4	3/4	Chord	4/4	2	2	1/12	1/8	2/3	147													
6	5	119/6	119/6	0.3333333333333333	5/6	5/6	Chord	4/4	2	2	1/12	1/8	2/3	148													
6	5	121/6	121/6	0.3333333333333333	11/12	11/12	Chord	4/4	2	2	1/12	1/8	2/3	149													
6	5	33/2	33/2	0.3333333333333333	0	0	Chord	4/4	3	1	1/12	1/8	2/3	150													
6	5	101/6	101/6	0.3333333333333333	1/12	1/12	Chord	4/4	3	1	1/12	1/8	2/3	151													
6	5	103/6	103/6	0.3333333333333333	1/6	1/6	Chord	4/4	3	1	1/12	1/8	2/3	152													
6	5	35/2	35/2	0.3333333333333333	1/4	1/4	Chord	4/4	3	1	1/12	1/8	2/3	153													
6	5	107/6	107/6	0.3333333333333333	1/3	1/3	Chord	4/4	3	1	1/12	1/8	2/3	154													
6	5	109/6	109/6	0.3333333333333333	5/12	5/12	Chord	4/4	3	1	1/12	1/8	2/3	155													
6	5	37/2	37/2	0.3333333333333333	1/2	1/2	Chord	4/4	3	1	1/12	1/8	2/3	156													
6	5	113/6	113/6	0.3333333333333333	7/12	7/12	Chord	4/4	3	1	1/12	1/8	2/3	157													
6	5	115/6	115/6	0.3333333333333333	2/3	2/3	Chord	4/4	3	1	1/12	1/8	2/3	158													
6	5	39/2	39/2	0.3333333333333333	3/4	3/4	Chord	4/4	3	1	1/12	1/8	2/3	159													
6	5	119/6	119/6	0.3333333333333333	5/6	5/6	Chord	4/4	3	1	1/12	1/8	2/3	160													
6	5	121/6	121/6	0.3333333333333333	11/12	11/12	Chord	4/4	3	1	1/12	1/8	2/3	161													
7	6	41/2	41/2	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	162													
7	6	43/2	43/2	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	163	-se												
7	6	45/2	45/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	164	Schall												
7	6	47/2	47/2	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	165	den												
7	6	125/6	125/6	0.6666666666666666	1/12	1/12	Chord	4/4	2	1	1/6	1/4	2/3	166													
7	6	43/2	43/2	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	167													
7	6	45/2	45/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	168													
7	6	47/2	47/2	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	169													
7	6	125/6	125/6	0.3333333333333333	1/12	1/12	Chord	4/4	2	2	1/12	1/8	2/3	170													
7	6	127/6	127/6	0.3333333333333333	1/6	1/6	Chord	4/4	2	2	1/12	1/8	2/3	171													
7	6	43/2	43/2	0.3333333333333333	1/4	1/4	Chord	4/4	2	2	1/12	1/8	2/3	172													
7	6	131/6	131/6	0.3333333333333333	1/3	1/3	Chord	4/4	2	2	1/12	1/8	2/3	173													
7	6	133/6	133/6	0.3333333333333333	5/12	5/12	Chord	4/4	2	2	1/12	1/8	2/3	174													
7	6	45/2	45/2	0.3333333333333333	1/2	1/2	Chord	4/4	2	2	1/12	1/8	2/3	175													
7	6	137/6	137/6	0.3333333333333333	7/12	7/12	Chord	4/4	2	2	1/12	1/8	2/3	176													
7	6	139/6	139/6	0.3333333333333333	2/3	2/3	Chord	4/4	2	2	1/12	1/8	2/3	177													
7	6	47/2	47/2	0.3333333333333333	3/4	3/4	Chord	4/4	2	2	1/12	1/8	2/3	178													
7	6	143/6	143/6	0.3333333333333333	5/6	5/6	Chord	4/4	2	2	1/12	1/8	2/3	179													
7	6	145/6	145/6	0.3333333333333333	11/12	11/12	Chord	4/4	2	2	1/12	1/8	2/3	180													
7	6	41/2	41/2	0.3333333333333333	0	0	Chord	4/4	3	1	1/12	1/8	2/3	181													
7	6	125/6	125/6	0.3333333333333333	1/12	1/12	Chord	4/4	3	1	1/12	1/8	2/3	182													
7	6	127/6	127/6	0.3333333333333333	1/6	1/6	Chord	4/4	3	1	1/12	1/8	2/3	183													
7	6	43/2	43/2	0.3333333333333333	1/4	1/4	Chord	4/4	3	1	1/12	1/8	2/3	184													
7	6	131/6	131/6	0.3333333333333333	1/3	1/3	Chord	4/4	3	1	1/12	1/8	2/3	185													
7	6	133/6	133/6	0.3333333333333333	5/12	5/12	Chord	4/4	3	1	1/12	1/8	2/3	186													
7	6	45/2	45/2	0.3333333333333333	1/2	1/2	Chord	4/4	3	1	1/12	1/8	2/3	187													
7	6	137/6	137/6	0.3333333333333333	7/12	7/12	Chord	4/4	3	1	1/12	1/8	2/3	188													
7	6	139/6	139/6	0.3333333333333333	2/3	2/3	Chord	4/4	3	1	1/12	1/8	2/3	189													
7	6	47/2	47/2	0.3333333333333333	3/4	3/4	Chord	4/4	3	1	1/12	1/8	2/3	190													
7	6	143/6	143/6	0.3333333333333333	5/6	5/6	Chord	4/4	3	1	1/12	1/8	2/3	191													
7	6	145/6	145/6	0.3333333333333333	11/12	11/12	Chord	4/4	3	1	1/12	1/8	2/3	192													
7	6	41/2	41/2	4.0	0	0	Chord	4/4	3	2	1	1	1	193													
8	7	49/2	49/2	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	194	grü-												
8	7	26	26	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	195	-nen												
8	7	53/2	53/2	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	196	Wald												
8	7	55/2	55/2	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	197	ent-												
8	7	149/6	149/6	0.6666666666666666	1/12	1/12	Chord	4/4	2	1	1/6	1/4	2/3	198									8				
8	7	51/2	51/2	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	199									8				
8	7	26	26	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	200									8				
8	7	53/2	53/2	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	201									8				
8	7	55/2	55/2	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	202													
8	7	149/6	149/6	0.3333333333333333	1/12	1/12	Chord	4/4	2	2	1/12	1/8	2/3	203													
8	7	151/6	151/6	0.3333333333333333	1/6	1/6	Chord	4/4	2	2	1/12	1/8	2/3	204													
8	7	51/2	51/2	0.3333333333333333	1/4	1/4	Chord	4/4	2	2	1/12	1/8	2/3	205													
8	7	155/6	155/6	0.3333333333333333	1/3	1/3	Chord	4/4	2	2	1/12	1/8	2/3	206													
8	7	157/6	157/6	0.3333333333333333	5/12	5/12	Chord	4/4	2	2	1/12	1/8	2/3	207													
8	7	53/2	53/2	0.3333333333333333	1/2	1/2	Chord	4/4	2	2	1/12	1/8	2/3	208													
8	7	161/6	161/6	0.3333333333333333	7/12	7/12	Chord	4/4	2	2	1/12	1/8	2/3	209													
8	7	163/6	163/6	0.3333333333333333	2/3	2/3	Chord	4/4	2	2	1/12	1/8	2/3	210													
8	7	55/2	55/2	0.3333333333333333	3/4	3/4	Chord	4/4	2	2	1/12	1/8	2/3	211													
8	7	167/6	167/6	0.3333333333333333	5/6	5/6	Chord	4/4	2	2	1/12	1/8	2/3	212													
8	7	169/6	169/6	0.3333333333333333	11/12	11/12	Chord	4/4	2	2	1/12	1/8	2/3	213													
8	7	49/2	49/2	0.3333333333333333	0	0	Chord	4/4	3	1	1/12	1/8	2/3	214													
8	7	149/6	149/6	0.3333333333333333	1/12	1/12	Chord	4/4	3	1	1/12	1/8	2/3	215													
8	7	151/6	151/6	0.3333333333333333	1/6	1/6	Chord	4/4	3	1	1/12	1/8	2/3	216													
8	7	51/2	51/2	0.3333333333333333	1/4	1/4	Chord	4/4	3	1	1/12	1/8	2/3	217													
8	7	155/6	155/6	0.3333333333333333	1/3	1/3	Chord	4/4	3	1	1/12	1/8	2/3	218													
8	7	157/6	157/6	0.3333333333333333	5/12	5/12	Chord	4/4	3	1	1/12	1/8	2/3	219													
8	7	53/2	53/2	0.3333333333333333	1/2	1/2	Chord	4/4	3	1	1/12	1/8	2/3	220													
8	7	161/6	161/6	0.3333333333333333	7/12	7/12	Chord	4/4	3	1	1/12	1/8	2/3	221													
8	7	163/6	163/6	0.3333333333333333	2/3	2/3	Chord	4/4	3	1	1/12	1/8	2/3	222													
8	7	55/2	55/2	0.3333333333333333	3/4	3/4	Chord	4/4	3	1	1/12	1/8	2/3	223													
8	7	167/6	167/6	0.3333333333333333	5/6	5/6	Chord	4/4	3	1	1/12	1/8	2/3	224													
8	7	169/6	169/6	0.3333333333333333	11/12	11/12	Chord	4/4	3	1	1/12	1/8	2/3	225													
8	7	49/2	49/2	4.0	0	0	Chord	4/4	3	2	1	1	1	226													
9	8	57/2	57/2	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	227	-lang.												
9	8	173/6	173/6	0.3333333333333333	1/12	1/12	Chord	4/4	2	1	1/12	1/8	2/3	228													
9	8	175/6	175/6	0.3333333333333333	1/6	1/6	Chord	4/4	2	1	1/12	1/8	2/3	229													
9	8	59/2	59/2	0.0	1/4	1/4	Spanner	4/4	2	1	0													0			
9	8	59/2	59/2	0.3333333333333333	1/4	1/4	Chord	4/4	2	1	1/12	1/8	2/3	230										0			
9	8	179/6	179/6	0.3333333333333333	1/3	1/3	Chord	4/4	2	1	1/12	1/8	2/3	231										0			
9	8	181/6	181/6	0.3333333333333333	5/12	5/12	Chord	4/4	2	1	1/12	1/8	2/3	232										0			
9	8	61/2	61/2	0.3333333333333333	1/2	1/2	Chord	4/4	2	1	1/12	1/8	2/3	233										0			
9	8	185/6	185/6	0.3333333333333333	7/12	7/12	Chord	4/4	2	1	1/12	1/8	2/3	234										0			
9	8	187/6	187/6	0.3333333333333333	2/3	2/3	Chord	4/4	2	1	1/12	1/8	2/3	235										0			
9	8	63/2	63/2	0.3333333333333333	3/4	3/4	Chord	4/4	2	1	1/12	1/8	2/3	236										0			
9	8	191/6	191/6	0.3333333333333333	5/6	5/6	Chord	4/4	2	1	1/12	1/8	2/3	237										0			
9	8	193/6	193/6	0.3333333333333333	11/12	11/12	Chord	4/4	2	1	1/12	1/8	2/3	238										0			
9	8	57/2	57/2	0.3333333333333333	0	0	Chord	4/4	3	1	1/12	1/8	2/3	239													
9	8	173/6	173/6	0.3333333333333333	1/12	1/12	Chord	4/4	3	1	1/12	1/8	2/3	240													
9	8	175/6	175/6	0.3333333333333333	1/6	1/6	Chord	4/4	3	1	1/12	1/8	2/3	241													
9	8	59/2	59/2	0.3333333333333333	1/4	1/4	Chord	4/4	3	1	1/12	1/8	2/3	242													
9	8	179/6	179/6	0.3333333333333333	1/3	1/3	Chord	4/4	3	1	1/12	1/8	2/3	243													
9	8	181/6	181/6	0.3333333333333333	5/12	5/12	Chord	4/4	3	1	1/12	1/8	2/3	244													
9	8	61/2	61/2	0.3333333333333333	1/2	1/2	Chord	4/4	3	1	1/12	1/8	2/3	245													
9	8	185/6	185/6	0.3333333333333333	7/12	7/12	Chord	4/4	3	1	1/12	1/8	2/3	246													
9	8	187/6	187/6	0.3333333333333333	2/3	2/3	Chord	4/4	3	1	1/12	1/8	2/3	247													
