mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
31	29	343/6	355/6	0.3333333333333333		1/6	1/6	Chord	2/4	1	1	1/12	1/8	2/3	255	recht 											
31	29	115/2	119/2	0.0		1/4	1/4	Spanner	2/4	1	1	0														5	
31	29	115/2	119/2	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	256	glück-										5	
31	29	58	60	0.5		3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	257	-lich										5	
31	29	113/2	117/2	0.5		0	0	Chord	2/4	2	1	1/8	1/8	1	258												
31	29	57	59	0.5		1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	259												
31	29	115/2	119/2	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	260												
31	29	58	60	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	261												
31	29	113/2	117/2	0.5		0	0	Chord	2/4	3	1	1/8	1/8	1	262												
31	29	57	59	0.5		1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	263												
31	29	115/2	119/2	0.5		1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	264												
31	29	58	60	0.5		3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	265												
32	30	117/2	121/2	0.0		0	0	Spanner	2/4	1	1	0															
32	30	117/2	121/2	1.5		0	0	Chord	2/4	1	1	3/8	1/4	3/2	266	sein.											
32	30	117/2	121/2	1.5		0	0	Chord	2/4	2	1	3/8	1/4	3/2	267												
32	30	117/2	121/2	1.5		0	0	Chord	2/4	3	1	3/8	1/4	3/2	268												
