mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	dynamics	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	crescendo_line
29	29	43	43	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	269													3
29	29	173/4	173/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	270													3
29	29	42	42	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	271													
30	30	87/2	87/2	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	272													2
30	30	89/2	89/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	273	-stes	-ge-	be-										2
30	30	87/2	87/2	1.5	0	0	Chord	3/8	2	1	3/8	1/4	3/2	274										21			3
30	30	87/2	87/2	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	275													3
30	30	175/4	175/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	276													3
30	30	44	44	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	277													3
30	30	177/4	177/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	278													3
30	30	89/2	89/2	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	279													3
30	30	179/4	179/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	280													3
30	30	87/2	87/2	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	281													
31	31	45	45	0.0	0	0	Spanner	3/8	1	1	0																
31	31	45	45	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	282	Wort	-braus	-schwingt										
31	31	45	45	1.5	0	0	Chord	3/8	2	1	3/8	1/4	3/2	283										22			3
31	31	45	45	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	284													3
31	31	181/4	181/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	285													3
31	31	91/2	91/2	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	286													3
31	31	183/4	183/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	287													3
31	31	46	46	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	288													3
31	31	185/4	185/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	289													3
31	31	45	45	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	290													
32	32	93/2	93/2	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	291													
32	32	93/2	93/2	0.0	0	0	Spanner	3/8	2	1	0																
32	32	93/2	93/2	0.0	0	0	Spanner	3/8	2	1	0														1		
32	32	93/2	93/2	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	292										23	1		
32	32	95/2	95/2	0.0	1/4	1/4	Spanner	3/8	2	1	0													23			
32	32	95/2	95/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	293										23			
32	32	93/2	93/2	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	294													
32	32	187/4	187/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	295													
32	32	47	47	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	296													
32	32	189/4	189/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	297													
32	32	95/2	95/2	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	298													
32	32	191/4	191/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	299													
33	33	49	49	0.0	1/4	1/4	Dynamic	3/8	1	1	0							p									
33	33	49	49	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	300	in	in	in										
33	33	48	48	0.0	0	0	Dynamic	3/8	2	1	0							p									
33	33	48	48	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	301										24			
33	33	49	49	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	302													
33	33	48	48	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	303													
33	33	193/4	193/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	304													
33	33	97/2	97/2	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	305													
33	33	195/4	195/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	306													
33	33	49	49	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	307													
33	33	197/4	197/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	308													
33	33	48	48	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	309													
34	34	99/2	99/2	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	310	Zweig	dei-	Lie-										
34	34	101/2	101/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	311	und	-ne	-dern										
34	34	99/2	99/2	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	312													
34	34	101/2	101/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	313													
34	34	99/2	99/2	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	314													
34	34	199/4	199/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	315													
34	34	50	50	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	316													
34	34	201/4	201/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	317													
34	34	101/2	101/2	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	318													
34	34	203/4	203/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	319													
34	34	99/2	99/2	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	320													
35	35	51	51	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	321	Blatt	küh-	of-										
35	35	51	51	0.75	0	0	Chord	3/8	2	1	3/16	1/8	3/2	322										25			
35	35	207/4	207/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16	1/8	3/2	323										25			
35	35	51	51	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	324													
35	35	205/4	205/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	325													
35	35	103/2	103/2	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	326													
35	35	207/4	207/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	327													
35	35	52	52	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	328													
35	35	209/4	209/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	329													
35	35	51	51	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	330													
36	36	105/2	105/2	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	331													
36	36	107/2	107/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	332	be-	-len	-fen-										
36	36	105/2	105/2	0.75	0	0	Chord	3/8	2	1	3/16	1/8	3/2	333										25			
36	36	213/4	213/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16	1/8	3/2	334													
36	36	105/2	105/2	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	335													
36	36	211/4	211/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	336													
36	36	53	53	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	337													
36	36	213/4	213/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	338													
36	36	107/2	107/2	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	339													
36	36	215/4	215/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	340													
37	37	54	54	0.0	0	0	Dynamic	3/8	1	1	0							pp									
37	37	54	54	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	341	-lau-	Räu-	-ba-							26			
37	37	54	54	0.0	0	0	Dynamic	3/8	2	1	0							pp									
37	37	54	54	1.5	0	0	Chord	3/8	2	1	3/8	1/4	3/2	342										27			
37	37	54	54	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	343													
37	37	217/4	217/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	344													
37	37	109/2	109/2	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	345													
37	37	219/4	219/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	346													
37	37	55	55	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	347													
37	37	221/4	221/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	348													
37	37	54	54	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	349													
38	38	111/2	111/2	1.5	0	0	Chord	3/8	1	1	3/8	1/4	3/2	350													
38	38	111/2	111/2	1.5	0	0	Chord	3/8	2	1	3/8	1/4	3/2	351													
38	38	111/2	111/2	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	352													
38	38	223/4	223/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	353													
38	38	56	56	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	354													
38	38	225/4	225/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	355													
38	38	113/2	113/2	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	356													
38	38	227/4	227/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	357													
39	39	57	57	1.0	0	0	Chord	3/8	1	1	1/4	1/4	1	358	-schen!	-me!	-ren!										
39	39	57	57	0.75	0	0	Chord	3/8	2	1	3/16	1/8	3/2	359										28			
39	39	231/4	231/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16	1/8	3/2	360										28			
39	39	57	57	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	361													
39	39	229/4	229/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	362													
39	39	115/2	115/2	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	363													
39	39	231/4	231/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	364													
39	39	58	58	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	365													
39	39	233/4	233/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	366													
39	39	57	57	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	367													
40	40	117/2	117/2	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	368										28			
40	40	119/2	119/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	369													
40	40	117/2	117/2	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	370													
40	40	235/4	235/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	371													
40	40	59	59	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	372													
40	40	237/4	237/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	373													
40	40	119/2	119/2	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	374													
40	40	239/4	239/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	375													
41	41	60	60	0.75	0	0	Chord	3/8	2	1	3/16	1/8	3/2	376										29			
41	41	243/4	243/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16	1/8	3/2	377										29			
41	41	60	60	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	378													
41	41	241/4	241/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	379													
41	41	121/2	121/2	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	380													
41	41	243/4	243/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	381													
41	41	61	61	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	382													
41	41	245/4	245/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	383													
41	41	60	60	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	384													
42	42	123/2	123/2	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	385										29			
42	42	125/2	125/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	386													
42	42	123/2	123/2	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	387													
42	42	247/4	247/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	388													
42	42	62	62	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	389													
42	42	249/4	249/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	390													
42	42	125/2	125/2	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	391													
42	42	251/4	251/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	392													
42	42	123/2	123/2	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	393													
43	43	63	63	0.75	0	0	Chord	3/8	2	1	3/16	1/8	3/2	394										30			
43	43	255/4	255/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16	1/8	3/2	395										30			
43	43	63	63	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	396													
43	43	253/4	253/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	397													
43	43	127/2	127/2	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	398													
43	43	255/4	255/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	399													
43	43	64	64	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	400													
43	43	257/4	257/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	401													
43	43	63	63	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	402													
44	44	129/2	129/2	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	403										30			
44	44	131/2	131/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	404													
44	44	129/2	129/2	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	405													
44	44	259/4	259/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	406													
44	44	65	65	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	407													
44	44	261/4	261/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	408													
44	44	131/2	131/2	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	409													
44	44	263/4	263/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	410													
44	44	129/2	129/2	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	411													
45	45	66	66	0.75	0	0	Chord	3/8	2	1	3/16	1/8	3/2	412										31			
45	45	267/4	267/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16	1/8	3/2	413										31			
45	45	66	66	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	414													
45	45	265/4	265/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	415													
45	45	133/2	133/2	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	416													
45	45	267/4	267/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	417													
45	45	67	67	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	418													
45	45	269/4	269/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	419													
45	45	66	66	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	420													
46	46	137/2	137/2	0.5	1/4	1/4	Chord	3/8	1	1	1/8	1/8	1	421	2. Und	3. Was											
46	46	135/2	135/2	0.75	0	0	Chord	3/8	2	1	3/16	1/8	3/2	422										31			
46	46	273/4	273/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16	1/8	3/2	423													
46	46	135/2	135/2	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	424													
46	46	271/4	271/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	425													
46	46	68	68	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	426													
46	46	273/4	273/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	427													
46	46	137/2	137/2	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	428													
46	46	275/4	275/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	429													
46	46	135/2	135/2	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	430													
47	41	69	69	0.75	0	0	Chord	3/8	2	1	3/16	1/8	3/2	431										32			
47	41	279/4	279/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16	1/8	3/2	432										32			
47	41	69	69	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	433													
47	41	277/4	277/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	434													
47	41	139/2	139/2	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	435													
47	41	279/4	279/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	436													
47	41	70	70	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	437													
47	41	281/4	281/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	438													
47	41	69	69	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	439													
48	42	141/2	141/2	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	440										32			
48	42	143/2	143/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	441													
48	42	141/2	141/2	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	442													
48	42	283/4	283/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	443													
48	42	71	71	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	444													
48	42	285/4	285/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	445													
48	42	143/2	143/2	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	446													
48	42	287/4	287/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	447													
49	43	72	72	0.75	0	0	Chord	3/8	2	1	3/16	1/8	3/2	448										33			
49	43	291/4	291/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16	1/8	3/2	449										33			
49	43	72	72	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	450													
49	43	289/4	289/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	451													
49	43	145/2	145/2	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	452													
49	43	291/4	291/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	453													
49	43	73	73	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	454													
49	43	293/4	293/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	455													
49	43	72	72	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	456													
50	44	147/2	147/2	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	457										33			
50	44	149/2	149/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	458													
50	44	147/2	147/2	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	459													
50	44	295/4	295/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	460													
50	44	74	74	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	461													
50	44	297/4	297/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	462													
50	44	149/2	149/2	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	463													
50	44	299/4	299/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	464													
51	45	75	75	0.75	0	0	Chord	3/8	2	1	3/16	1/8	3/2	465										34			
51	45	303/4	303/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16	1/8	3/2	466										34			
51	45	75	75	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	467													
51	45	301/4	301/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	468													
51	45	151/2	151/2	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	469													
51	45	303/4	303/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	470													
51	45	76	76	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	471													
51	45	305/4	305/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	472													
51	45	75	75	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	473													
52	46	153/2	153/2	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	474										34			
52	46	155/2	155/2	0.5	1/4	1/4	Chord	3/8	2	1	1/8	1/8	1	475													
52	46	153/2	153/2	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	476													
52	46	307/4	307/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	477													
52	46	77	77	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	478													
52	46	309/4	309/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	479													
52	46	155/2	155/2	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	480													
52	46	311/4	311/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	481													
53	47	78	78	0.75	0	0	Chord	3/8	2	1	3/16	1/8	3/2	482										35			
53	47	315/4	315/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16	1/8	3/2	483										35			
53	47	78	78	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	484													
53	47	313/4	313/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	485													
53	47	157/2	157/2	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	486													
53	47	315/4	315/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	487													
53	47	79	79	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	488													
53	47	317/4	317/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	489													
53	47	78	78	0.5	0	0	Chord	3/8	3	1	1/8	1/8	1	490													
54	48	159/2	159/2	0.75	0	0	Chord	3/8	2	1	3/16	1/8	3/2	491										35			
54	48	321/4	321/4	0.75	3/16	3/16	Chord	3/8	2	1	3/16	1/8	3/2	492													
54	48	159/2	159/2	0.25	0	0	Chord	3/8	2	2	1/16	1/16	1	493													
54	48	319/4	319/4	0.25	1/16	1/16	Chord	3/8	2	2	1/16	1/16	1	494													
54	48	80	80	0.25	1/8	1/8	Chord	3/8	2	2	1/16	1/16	1	495													
54	48	321/4	321/4	0.25	3/16	3/16	Chord	3/8	2	2	1/16	1/16	1	496													
54	48	161/2	161/2	0.25	1/4	1/4	Chord	3/8	2	2	1/16	1/16	1	497													
54	48	323/4	323/4	0.25	5/16	5/16	Chord	3/8	2	2	1/16	1/16	1	498													
55	49	81	81	1.5	0	0	Chord	3/8	2	1	3/8	1/4	3/2	499													
55	49	81	81	1.5	0	0	Chord	3/8	2	2	3/8	1/4	3/2	500													
56	50	165/2	165/2	1.0	0	0	Chord	3/8	2	1	1/4	1/4	1	501													
