mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin	crescendo_line
9	9	49/2	49/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	156													
9	9	99/4	99/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	157													
9	9	25	25	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	158													
9	9	103/4	103/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	159													
9	9	26	26	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	160													
9	9	105/4	105/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	161													
9	9	53/2	53/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	162													
9	9	24	24	0.25	0	0	Chord	6/8	3	1	1/16		1/16	1	163													
9	9	97/4	97/4	0.25	1/16	1/16	Chord	6/8	3	1	1/16		1/16	1	164													
9	9	49/2	49/2	0.25	1/8	1/8	Chord	6/8	3	1	1/16		1/16	1	165													
9	9	99/4	99/4	0.25	3/16	3/16	Chord	6/8	3	1	1/16		1/16	1	166													
9	9	25	25	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	167													
9	9	51/2	51/2	0.25	3/8	3/8	Chord	6/8	3	1	1/16		1/16	1	168													
9	9	103/4	103/4	0.25	7/16	7/16	Chord	6/8	3	1	1/16		1/16	1	169													
9	9	26	26	0.25	1/2	1/2	Chord	6/8	3	1	1/16		1/16	1	170													
9	9	105/4	105/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16		1/16	1	171													
9	9	53/2	53/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	172													
10	10	27	27	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	173	-ab	klin-											
10	10	28	28	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	174	zu	-gend											
10	10	57/2	57/2	0.0	3/8	3/8	Chord	6/8	1	1	0	acciaccatura	1/8	1	175													
10	10	57/2	57/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	176	sin-	Seh-											
10	10	109/4	109/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	177										14			
10	10	55/2	55/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	178										14			
10	10	111/4	111/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	179										14			
10	10	28	28	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	180													
10	10	115/4	115/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	181										15			
10	10	29	29	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	182										15			
10	10	117/4	117/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	183										15			
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	184													
10	10	27	27	1.5	0	0	Chord	6/8	3	1	3/8		1/4	3/2	185													
10	10	57/2	57/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8		1/4	3/2	186													
11	11	30	30	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	187	-gen !	-nen,											
11	11	121/4	121/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	188										16			
11	11	61/2	61/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	189										16			
11	11	123/4	123/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	190										16			
11	11	31	31	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	191													
11	11	127/4	127/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	192										17			
11	11	32	32	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	193										17			
11	11	129/4	129/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	194										17			
11	11	65/2	65/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	195													
11	11	30	30	1.5	0	0	Chord	6/8	3	1	3/8		1/4	3/2	196													
11	11	63/2	63/2	0.25	3/8	3/8	Chord	6/8	3	1	1/16		1/16	1	197										18			
11	11	127/4	127/4	0.25	7/16	7/16	Chord	6/8	3	1	1/16		1/16	1	198										18			
11	11	32	32	0.25	1/2	1/2	Chord	6/8	3	1	1/16		1/16	1	199										18			
11	11	129/4	129/4	0.25	9/16	9/16	Chord	6/8	3	1	1/16		1/16	1	200										18			
11	11	65/2	65/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	201													
12	12	71/2	71/2	0.0	5/8	5/8	Dynamic	6/8	1	1	0							p										
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	202	Der	und											
12	12	33	33	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	203				articStaccatoAbove									
12	12	135/4	135/4	0.0	3/16	3/16	Dynamic	6/8	2	1	0							p										
12	12	135/4	135/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	204				articStaccatoAbove									
12	12	34	34	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	205				articStaccatoAbove									
12	12	69/2	69/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	206				articStaccatoAbove									
12	12	35	35	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	207				articStaccatoAbove									
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	208				articStaccatoAbove									
13	13	36	36	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	209	klein-	fällt											
13	13	37	37	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	210	-ste	der											
13	13	75/2	75/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	211	Ton	gan-											
13	13	77/2	77/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	212	hin-	-zen											
13	13	145/4	145/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	213										19			
13	13	73/2	73/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	214										19			
13	13	147/4	147/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	215										19			
13	13	37	37	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	216													
13	13	151/4	151/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	217										20			
13	13	38	38	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	218										20			
13	13	153/4	153/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	219										20			
13	13	77/2	77/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	220													
13	13	36	36	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	221													
13	13	75/2	75/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	222													
14	14	39	39	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	223	-un-	Welt											
14	14	40	40	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	224	-ter	an's											
14	14	81/2	81/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	225	zieht	Herz 											
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	226	so	ob											
14	14	157/4	157/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	227										21			
14	14	79/2	79/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	228										21			
14	14	159/4	159/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	229										21			
14	14	40	40	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	230													
14	14	163/4	163/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	231										22			
14	14	41	41	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	232										22			
14	14	165/4	165/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	233										22			
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	234													
14	14	39	39	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	235													
14	14	81/2	81/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	236													
15	15	42	42	0.0	0	0	Spanner	6/8	1	1	0																0	
15	15	42	42	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	237	wie	freu-										0	
15	15	43	43	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	238	auf	-dig,										0	
15	15	87/2	87/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	239	Rie-	ob										0	
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	240	-sen-	in										0	
15	15	169/4	169/4	0.0	1/16	1/16	Spanner	6/8	2	1	0																1	
15	15	169/4	169/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	241										23		1	
15	15	85/2	85/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	242										23		1	
15	15	171/4	171/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	243										23		1	
15	15	43	43	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	244												1	
15	15	175/4	175/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	245										24		1	
15	15	44	44	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	246										24		1	
15	15	177/4	177/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	247										24		1	
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	248												1	
15	15	42	42	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	249													
15	15	87/2	87/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8		1/8	1	250													
16	16	45	45	0.0	0	0	Spanner	6/8	1	1	0																	
16	16	45	45	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	251	-schwin-	Thrä-											
16	16	93/2	93/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	252	-gen !	-nen.											
16	16	45	45	0.0	0	0	Spanner	6/8	2	1	0																	
16	16	181/4	181/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	253										25			
16	16	91/2	91/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	254										25			
16	16	183/4	183/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	255										25			
16	16	46	46	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	256													
16	16	187/4	187/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	257										26			
16	16	47	47	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	258										26			
16	16	189/4	189/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	259										26			
16	16	95/2	95/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	260													
16	16	45	45	1.5	0	0	Chord	6/8	3	1	3/8		1/4	3/2	261										27			
16	16	93/2	93/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8		1/4	3/2	262													
17	17	48	48	0.0	0	0	Dynamic	6/8	2	1	0							p										
17	17	193/4	193/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	263										28			
17	17	97/2	97/2	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	264										28			
17	17	195/4	195/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	265										28			
