mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	decrescendo_hairpin	crescendo_hairpin
42	41	163/2	163/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	247												
42	41	161/2	161/2	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	248												
42	41	163/2	163/2	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	249												
43	42	165/2	165/2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	250	Bahn,											
43	42	83	83	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	251	auf											
43	42	167/2	167/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	252	ih-											
43	42	84	84	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	253	-re											
43	42	165/2	165/2	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	254												
43	42	167/2	167/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	255												
43	42	165/2	165/2	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	256												
43	42	167/2	167/2	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	257												
44	43	169/2	169/2	2.0	0	0	Chord	2/4	1	1	1/2	1/2	1	258	Bahn,											
44	43	171/2	171/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	259												
44	43	171/2	171/2	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	260												
45	44	173/2	173/2	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	261												
45	44	88	88	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	262	ja											
45	44	173/2	173/2	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	263												
45	44	175/2	175/2	0.0	1/4	1/4	Spanner	2/4	2	1	0														2	
45	44	175/2	175/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	264											2	
45	44	173/2	173/2	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	265												
45	44	175/2	175/2	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	266												
46	45	177/2	177/2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	267	Ro-											
46	45	89	89	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	268	-sen!											
46	45	177/2	177/2	0.0	0	0	Spanner	2/4	2	1	0															
46	45	177/2	177/2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	269												
46	45	89	89	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	270			articStaccatoAbove									
46	45	179/2	179/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	271			articStaccatoAbove									
46	45	90	90	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	272			articStaccatoAbove									
46	45	177/2	177/2	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	273												
46	45	90	90	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	274			articStaccatoAbove									
47	46	181/2	181/2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	275			articStaccatoBelow									
47	46	91	91	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	276			articStaccatoAbove									
47	46	183/2	183/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	277			articStaccatoAbove									
47	46	92	92	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	278			articStaccatoAbove									
47	46	181/2	181/2	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	279			articStaccatoAbove									
47	46	91	91	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	280			articStaccatoAbove									
47	46	183/2	183/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	281			articStaccatoAbove									
47	46	92	92	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	282			articStaccatoAbove									
48	47	185/2	185/2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	283			articStaccatoAbove									
48	47	187/2	187/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	284												
48	47	185/2	185/2	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	285			articStaccatoAbove									
48	47	187/2	187/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	286												
49	48	191/2	191/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	287	Und											
49	48	189/2	189/2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	288												
49	48	189/2	189/2	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	289												
50	49	193/2	193/2	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	290	strah-		articAccentAbove									
50	49	195/2	195/2	1.0	1/4	1/4	Chord	2/4	1	1	1/4	1/4	1	291	-lend		articAccentAbove									
50	49	193/2	193/2	0.0	0	0	Dynamic	2/4	2	1	0					mf										
50	49	193/2	193/2	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	292												
50	49	195/2	195/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	293												
50	49	193/2	193/2	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	294												
50	49	195/2	195/2	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	295												
51	50	197/2	197/2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	296	flamm-											
51	50	99	99	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	297	-te											
51	50	100	100	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	298	die											
51	50	197/2	197/2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	299												
51	50	99	99	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	300												
51	50	100	100	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	301												
51	50	197/2	197/2	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	302												
51	50	99	99	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	303												
51	50	100	100	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	304												
52	51	201/2	201/2	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	305	Sonn'											
52	51	102	102	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	306	her-											
52	51	201/2	201/2	1.5	0	0	Chord	2/4	2	1	3/8	1/4	3/2	307												
52	51	102	102	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	308												
52	51	201/2	201/2	1.5	0	0	Chord	2/4	3	1	3/8	1/4	3/2	309												
52	51	102	102	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	310												
53	52	205/2	205/2	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	311	-vor,											
53	52	205/2	205/2	1.5	0	0	Chord	2/4	2	1	3/8	1/4	3/2	312												
53	52	104	104	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	313												
53	52	205/2	205/2	1.5	0	0	Chord	2/4	3	1	3/8	1/4	3/2	314												
54	53	209/2	209/2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	315			articStaccatoBelow									
54	53	105	105	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	316			articStaccatoBelow									
54	53	211/2	211/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	317			articStaccatoBelow									
54	53	106	106	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	318			articStaccatoBelow									
55	54	108	108	0.0	3/8	3/8	Dynamic	2/4	1	1	0					p										
55	54	108	108	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	319	die											
55	54	213/2	213/2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	320			articStaccatoBelow									
55	54	107	107	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	321			articStaccatoBelow									
55	54	215/2	215/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	322			articStaccatoBelow									
55	54	108	108	0.0	3/8	3/8	Dynamic	2/4	2	1	0					p										
55	54	108	108	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	323												
55	54	107	107	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	324			articStaccatoBelow									
55	54	215/2	215/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	325			articStaccatoBelow									
56	55	217/2	217/2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	326	Blu-											
56	55	109	109	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	327	-men-											
56	55	219/2	219/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	328	-blü-											
56	55	110	110	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	329	-then											
56	55	217/2	217/2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	330			articStaccatoBelow									
56	55	109	109	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	331			articStaccatoBelow									
56	55	219/2	219/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	332			articStaccatoBelow									
56	55	110	110	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	333			articStaccatoBelow									
57	56	221/2	221/2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	334	freu-											
57	56	111	111	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	335	-dig											
57	56	445/4	445/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	336	em-											
57	56	223/2	223/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	337	-por.											
57	56	112	112	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	338	Des											
57	56	221/2	221/2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	339												
57	56	111	111	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	340												
57	56	223/2	223/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	341												
57	56	111	111	0.5	1/8	1/8	Chord	2/4	3	1	1/8	1/8	1	342												
57	56	223/2	223/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	343												
58	57	225/2	225/2	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	344	Ba-											
58	57	114	114	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	345	-ches											
58	57	113	113	1.5	1/8	1/8	Chord	2/4	2	1	3/8	1/4	3/2	346			articAccentBelow									
58	57	113	113	1.5	1/8	1/8	Chord	2/4	3	1	3/8	1/4	3/2	347			articAccentAbove									
59	58	229/2	229/2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	348	Wel-											
59	58	115	115	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	349	-len											
59	58	231/2	231/2	1.0	1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	350												
59	58	231/2	231/2	1.0	1/4	1/4	Chord	2/4	3	1	1/4	1/4	1	351												
60	59	233/2	233/2	0.0	0	0	Spanner	2/4	1	1	0															3
60	59	233/2	233/2	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	352	jauchz-		ornamentTurn									3
60	59	235/2	235/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	353												3
60	59	118	118	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	354	-ten											3
60	59	233/2	233/2	0.0	0	0	Spanner	2/4	2	1	0															4
60	59	233/2	233/2	2.0	0	0	Chord	2/4	2	1	1/2	1/2	1	355										20		4
60	59	233/2	233/2	2.0	0	0	Chord	2/4	3	1	1/2	1/2	1	356												
61	60	237/2	237/2	0.0	0	0	Spanner	2/4	1	1	0															
61	60	237/2	237/2	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	357	auf,											
61	60	239/2	239/2	0.0	1/4	1/4	Dynamic	2/4	1	1	0					f										
61	60	239/2	239/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	358	und											
61	60	120	120	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	359	die											
61	60	237/2	237/2	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	360												4
61	60	239/2	239/2	0.0	1/4	1/4	Spanner	2/4	2	1	0															
61	60	237/2	237/2	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	361												
62	61	241/2	241/2	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	362	Son-											
62	61	122	122	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	363	-ne											
62	61	241/2	241/2	0.0	0	0	Dynamic	2/4	2	1	0					f										
62	61	241/2	241/2	1.5	0	0	Chord	2/4	2	1	3/8	1/4	3/2	364												
62	61	122	122	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	365												
62	61	241/2	241/2	2.0	0	0	Chord	2/4	2	2	1/2	1/2	1	366												
62	61	241/2	241/2	1.5	0	0	Chord	2/4	3	1	3/8	1/4	3/2	367												
62	61	122	122	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	368												
63	62	245/2	245/2	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	369	lach-											
63	62	124	124	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	370	-te											
63	62	245/2	245/2	1.5	0	0	Chord	2/4	2	1	3/8	1/4	3/2	371												
63	62	124	124	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	372												
63	62	245/2	245/2	1.5	0	0	Chord	2/4	3	1	3/8	1/4	3/2	373												
63	62	124	124	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	374												
64	63	249/2	249/2	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	375	freund-									21		
64	63	251/2	251/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	376												
64	63	126	126	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	377	-lich											
64	63	249/2	249/2	1.0	0	0	Chord	2/4	2	1	1/4	1/4	1	378										22		
64	63	251/2	251/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	379												
64	63	126	126	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	380												
64	63	249/2	249/2	1.0	0	0	Chord	2/4	3	1	1/4	1/4	1	381										23		
64	63	251/2	251/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	382												
64	63	126	126	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	383												
65	64	253/2	253/2	1.5	0	0	Chord	2/4	1	1	3/8	1/4	3/2	384	drauf,											
65	64	253/2	253/2	1.5	0	0	Chord	2/4	2	1	3/8	1/4	3/2	385												
65	64	128	128	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	386												
65	64	253/2	253/2	1.5	0	0	Chord	2/4	3	1	3/8	1/4	3/2	387												
65	64	128	128	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	388												
66	65	129	129	0.0	1/8	1/8	Dynamic	2/4	1	1	0					p										
66	65	129	129	0.25	1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	389	und											
66	65	517/4	517/4	0.25	3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	390	die											
66	65	259/2	259/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	391	Son-											
66	65	130	130	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	392	-ne											
66	65	257/2	257/2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	393												
66	65	129	129	0.0	1/8	1/8	Dynamic	2/4	2	1	0					p										
66	65	129	129	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	394										24		
66	65	259/2	259/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	395										24		
66	65	130	130	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	396										24		
66	65	257/2	257/2	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	397												
67	66	261/2	261/2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	398	lach-									25		
67	66	131	131	0.5	1/8	1/8	Chord	2/4	1	1	1/8	1/8	1	399										25		
67	66	263/2	263/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	400												
67	66	132	132	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	401	-te											
67	66	261/2	261/2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	402										24		
67	66	131	131	0.5	1/8	1/8	Chord	2/4	2	1	1/8	1/8	1	403										24		
67	66	263/2	263/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	404												
67	66	132	132	0.5	3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	405												
67	66	132	132	0.5	3/8	3/8	Chord	2/4	3	1	1/8	1/8	1	406												
68	67	265/2	265/2	0.0	0	0	Dynamic	2/4	1	1	0					f										
68	67	265/2	265/2	1.0	0	0	Chord	2/4	1	1	1/4	1/4	1	407	freund-											
68	67	267/2	267/2	0.5	1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	408	-lich											
68	67	134	134	0.5	3/8	3/8	Chord	2/4	1	1	1/8	1/8	1	409	da-											
68	67	265/2	265/2	0.0	0	0	Dynamic	2/4	2	1	0					f										
68	67	265/2	265/2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	410												
68	67	267/2	267/2	0.5	1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	411												
68	67	265/2	265/2	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	412												
68	67	267/2	267/2	0.5	1/4	1/4	Chord	2/4	3	1	1/8	1/8	1	413												
69	68	269/2	269/2	0.5	0	0	Chord	2/4	1	1	1/8	1/8	1	414	-rauf.											
69	68	269/2	269/2	0.5	0	0	Chord	2/4	2	1	1/8	1/8	1	415												
69	68	269/2	269/2	0.5	0	0	Chord	2/4	3	1	1/8	1/8	1	416												
