mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	diminuendo_line	crescendo_line	crescendo_hairpin
9	8	24	24	0.0	5/8	5/8	Chord	6/8	2	1	0	acciaccatura	1/8	1	72														
9	8	24	24	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	73														
9	8	43/2	43/2	1.0	0	0	Chord	6/8	2	2	1/4		1/4	1	74														
9	8	45/2	45/2	0.5	1/4	1/4	Chord	6/8	2	2	1/8		1/8	1	75									15					
9	8	23	23	1.0	3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	76														
9	8	24	24	0.5	5/8	5/8	Chord	6/8	2	2	1/8		1/8	1	77									16					
9	8	43/2	43/2	1.0	0	0	Chord	6/8	3	1	1/4		1/4	1	78														
9	8	45/2	45/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	79									17					
9	8	23	23	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	80														
9	8	24	24	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	81									18					
9	8	43/2	43/2	0.5	0	0	Chord	6/8	3	2	1/8		1/8	1	82														
9	8	22	22	1.5	1/8	1/8	Chord	6/8	3	2	3/8		1/4	3/2	83														
9	8	47/2	47/2	1.0	1/2	1/2	Chord	6/8	3	2	1/4		1/4	1	84														
10	9	49/2	49/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	85	Wach-													
10	9	51/2	51/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	86	-tel													
10	9	26	26	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	87	schlägt													
10	9	53/2	53/2	0.0	1/2	1/2	Chord	6/8	1	1	0	grace16	1/16	1	88														
10	9	53/2	53/2	0.0	1/2	1/2	Chord	6/8	1	1	0	grace16	1/16	1	89														
10	9	53/2	53/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	90														
10	9	27	27	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	91	im													
10	9	49/2	49/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	92														
10	9	51/2	51/2	0.0	1/4	1/4	Chord	6/8	2	1	0	acciaccatura	1/8	1	93														
10	9	51/2	51/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	94														
10	9	26	26	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	95														
10	9	27	27	0.0	5/8	5/8	Chord	6/8	2	1	0	acciaccatura	1/8	1	96														
10	9	27	27	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	97														
10	9	49/2	49/2	1.0	0	0	Chord	6/8	2	2	1/4		1/4	1	98														
10	9	51/2	51/2	0.5	1/4	1/4	Chord	6/8	2	2	1/8		1/8	1	99									19					
10	9	26	26	1.0	3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	100														
10	9	27	27	0.5	5/8	5/8	Chord	6/8	2	2	1/8		1/8	1	101									20					
10	9	49/2	49/2	1.0	0	0	Chord	6/8	3	1	1/4		1/4	1	102														
10	9	51/2	51/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	103									21					
10	9	26	26	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	104														
10	9	27	27	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	105									22					
10	9	49/2	49/2	0.5	0	0	Chord	6/8	3	2	1/8		1/8	1	106														
10	9	25	25	1.5	1/8	1/8	Chord	6/8	3	2	3/8		1/4	3/2	107														
10	9	53/2	53/2	1.0	1/2	1/2	Chord	6/8	3	2	1/4		1/4	1	108														
11	10	55/2	55/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	109	Korn,													
11	10	30	30	0.0	5/8	5/8	Dynamic	6/8	1	1	0						mf												
11	10	30	30	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	110	die													
11	10	55/2	55/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	111														
11	10	57/2	57/2	0.0	1/4	1/4	Chord	6/8	2	1	0	acciaccatura	1/8	1	112														
11	10	57/2	57/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	113														
11	10	29	29	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	114														
11	10	55/2	55/2	1.0	0	0	Chord	6/8	2	2	1/4		1/4	1	115														
11	10	57/2	57/2	0.5	1/4	1/4	Chord	6/8	2	2	1/8		1/8	1	116									23					
11	10	29	29	1.0	3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	117														
11	10	55/2	55/2	1.0	0	0	Chord	6/8	3	1	1/4		1/4	1	118														
11	10	57/2	57/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	119									24					
11	10	29	29	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	120														
11	10	55/2	55/2	0.5	0	0	Chord	6/8	3	2	1/8		1/8	1	121														
11	10	28	28	1.5	1/8	1/8	Chord	6/8	3	2	3/8		1/4	3/2	122														
11	10	59/2	59/2	1.0	1/2	1/2	Chord	6/8	3	2	1/4		1/4	1	123														
12	11	61/2	61/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	124	Ler-													
12	11	63/2	63/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	125	-che													
12	11	32	32	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	126	jauchzt													
12	11	33	33	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	127	mit													
12	11	61/2	61/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	128														
12	11	32	32	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	129														
12	11	31	31	1.0	1/8	1/8	Chord	6/8	3	1	1/4		1/4	1	130														
12	11	65/2	65/2	1.0	1/2	1/2	Chord	6/8	3	1	1/4		1/4	1	131														
13	12	67/2	67/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	132	Ju-								25					
13	12	34	34	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	133														
13	12	69/2	69/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	134	-bel-													
13	12	35	35	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	135	-schlag													
13	12	36	36	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	136	wohl													
13	12	67/2	67/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	137														
13	12	35	35	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	138														
13	12	34	34	1.0	1/8	1/8	Chord	6/8	3	1	1/4		1/4	1	139														
13	12	71/2	71/2	1.0	1/2	1/2	Chord	6/8	3	1	1/4		1/4	1	140														
14	13	73/2	73/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	141	ü-													
14	13	75/2	75/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	142	-berm													
14	13	38	38	0.0	3/8	3/8	Spanner	6/8	1	1	0																	0	
14	13	38	38	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	143	hel-								26				0	
14	13	77/2	77/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	144													0	
14	13	39	39	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	145	-len,												0	
14	13	73/2	73/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	146														
14	13	38	38	0.0	3/8	3/8	Spanner	6/8	2	1	0																	1	
14	13	38	38	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	147													1	
14	13	73/2	73/2	3.0	0	0	Chord	6/8	3	1	3/4		1/2	3/2	148														
15	14	79/2	79/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	149	grü-												0	
15	14	81/2	81/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	150	-nen												0	
15	14	41	41	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	151	Hag,												0	
15	14	42	42	0.0	5/8	5/8	Spanner	6/8	1	1	0																		
15	14	79/2	79/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	152													1	
15	14	41	41	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	153													1	
15	14	42	42	0.0	5/8	5/8	Dynamic	6/8	2	1	0						f												
15	14	42	42	0.0	5/8	5/8	Spanner	6/8	2	1	0																		
15	14	42	42	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	154														
15	14	79/2	79/2	1.5	0	0	Chord	6/8	3	1	3/8		1/4	3/2	155														
15	14	41	41	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	156														
15	14	42	42	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	157														
16	15	85/2	85/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	158														
16	15	87/2	87/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	159														
16	15	44	44	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	160														
16	15	45	45	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	161														
16	15	85/2	85/2	1.0	0	0	Chord	6/8	3	1	1/4		1/4	1	162														
16	15	87/2	87/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	163														
16	15	44	44	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	164														
16	15	45	45	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	165														
17	16	48	48	0.0	5/8	5/8	Dynamic	6/8	1	1	0						f												
17	16	48	48	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	166	der													
17	16	91/2	91/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	167														
17	16	93/2	93/2	0.0	1/4	1/4	Chord	6/8	2	1	0	acciaccatura	1/8	1	168														
17	16	93/2	93/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	169														
17	16	47	47	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	170														
17	16	48	48	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	171														
17	16	91/2	91/2	1.0	0	0	Chord	6/8	3	1	1/4		1/4	1	172														
17	16	93/2	93/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	173														
17	16	47	47	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	174														
17	16	48	48	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	175														
18	17	97/2	97/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	176	Jä-													
18	17	99/2	99/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	177	-ger													
18	17	50	50	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	178	bläst								27					
18	17	101/2	101/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	179														
18	17	51	51	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	180	in's													
18	17	97/2	97/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	181														
18	17	99/2	99/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	182														
18	17	50	50	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	183														
18	17	51	51	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	184														
18	17	97/2	97/2	1.0	0	0	Chord	6/8	3	1	1/4		1/4	1	185														
18	17	99/2	99/2	0.5	1/4	1/4	Chord	6/8	3	1	1/8		1/8	1	186														
18	17	50	50	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	187														
18	17	51	51	0.5	5/8	5/8	Chord	6/8	3	1	1/8		1/8	1	188														
19	18	103/2	103/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	189	Horn.													
19	18	103/2	103/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	190														
19	18	53	53	0.0	3/8	3/8	Dynamic	6/8	2	1	0						mf												
19	18	54	54	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	191														
19	18	103/2	103/2	1.5	0	0	Chord	6/8	3	1	3/8		1/4	3/2	192														
19	18	53	53	1.5	3/8	3/8	Chord	6/8	3	1	3/8		1/4	3/2	193														
20	19	109/2	109/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	194														
20	19	111/2	111/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	195														
20	19	56	56	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	196														
20	19	57	57	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	197														
20	19	109/2	109/2	3.0	0	0	Chord	6/8	3	1	3/4		1/2	3/2	198														
21	20	115/2	115/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	199														
21	20	117/2	117/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	200														
21	20	59	59	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	201														
21	20	60	60	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	202									28					
21	20	58	58	0.0	1/8	1/8	Chord	6/8	3	1	0	acciaccatura	1/8	1	203														
21	20	58	58	1.0	1/8	1/8	Chord	6/8	3	1	1/4		1/4	1	204														
22	21	121/2	121/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	205														
22	21	123/2	123/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	206														
22	21	62	62	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	207														
22	21	63	63	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	208														
22	21	61	61	0.0	1/8	1/8	Chord	6/8	3	1	0	acciaccatura	1/8	1	209														
22	21	61	61	1.0	1/8	1/8	Chord	6/8	3	1	1/4		1/4	1	210														
22	21	125/2	125/2	0.0	1/2	1/2	Chord	6/8	3	1	0	acciaccatura	1/8	1	211														
22	21	125/2	125/2	1.0	1/2	1/2	Chord	6/8	3	1	1/4		1/4	1	212														
23	22	66	66	0.0	5/8	5/8	Dynamic	6/8	1	1	0						p												
23	22	66	66	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	213	Frau													
23	22	127/2	127/2	0.75	0	0	Chord	6/8	2	1	3/16		1/8	3/2	214														
23	22	257/4	257/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	215														
23	22	129/2	129/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	216														
23	22	65	65	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	217														
23	22	66	66	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	218														
23	22	127/2	127/2	1.5	0	0	Chord	6/8	3	1	3/8		1/4	3/2	219														
23	22	65	65	1.0	3/8	3/8	Chord	6/8	3	1	1/4		1/4	1	220														
24	23	133/2	133/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	221	Nach-													
24	23	135/2	135/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	222	-ti-													
24	23	68	68	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	223	-gall													
24	23	69	69	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	224	ruft													
24	23	133/2	133/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	225														
24	23	135/2	135/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	226														
24	23	68	68	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	227														
24	23	69	69	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	228														
24	23	67	67	1.0	1/8	1/8	Chord	6/8	3	1	1/4		1/4	1	229														
24	23	137/2	137/2	1.0	1/2	1/2	Chord	6/8	3	1	1/4		1/4	1	230														
25	24	139/2	139/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	231	sü-								29					
25	24	70	70	0.0	1/8	1/8	Chord	6/8	1	1	0	grace16	1/16	1	232														
25	24	70	70	0.0	1/8	1/8	Chord	6/8	1	1	0	grace16	1/16	1	233														
25	24	70	70	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	234														
25	24	141/2	141/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	235	-ssen													
25	24	71	71	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	236	Schall,													
25	24	139/2	139/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	237														
25	24	141/2	141/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	238														
25	24	71	71	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	239														
25	24	72	72	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	240														
25	24	70	70	1.0	1/8	1/8	Chord	6/8	3	1	1/4		1/4	1	241														
25	24	143/2	143/2	1.0	1/2	1/2	Chord	6/8	3	1	1/4		1/4	1	242														
26	25	147/2	147/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	243	durch's													
26	25	74	74	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	244	Laub													
26	25	75	75	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	245	ein													
26	25	145/2	145/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	246														
26	25	147/2	147/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	247														
26	25	74	74	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	248														
26	25	75	75	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	249														
26	25	145/2	145/2	1.0	0	0	Chord	6/8	2	2	1/4		1/4	1	250														
26	25	147/2	147/2	0.5	1/4	1/4	Chord	6/8	2	2	1/8		1/8	1	251														
26	25	74	74	1.0	3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	252														
26	25	75	75	0.5	5/8	5/8	Chord	6/8	2	2	1/8		1/8	1	253														
26	25	73	73	1.5	1/8	1/8	Chord	6/8	3	1	3/8		1/4	3/2	254														
26	25	149/2	149/2	1.0	1/2	1/2	Chord	6/8	3	1	1/4		1/4	1	255														
27	26	151/2	151/2	1.0	0	0	Chord	6/8	1	1	1/4		1/4	1	256	Flü-													
27	26	153/2	153/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	257	-stern 													
27	26	77	77	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	258	zieht,													
27	26	151/2	151/2	0.16666666666666666	0	0	Chord	6/8	2	1	1/24		1/16	2/3	259									30					
27	26	227/3	227/3	0.16666666666666666	1/24	1/24	Chord	6/8	2	1	1/24		1/16	2/3	260									30					
27	26	455/6	455/6	0.16666666666666666	1/12	1/12	Chord	6/8	2	1	1/24		1/16	2/3	261									30					
27	26	76	76	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	262														
27	26	153/2	153/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	263														
27	26	77	77	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	264														
27	26	78	78	0.0	5/8	5/8	Dynamic	6/8	2	1	0						f												
27	26	78	78	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	265														
27	26	151/2	151/2	1.0	0	0	Chord	6/8	2	2	1/4		1/4	1	266														
27	26	153/2	153/2	0.5	1/4	1/4	Chord	6/8	2	2	1/8		1/8	1	267														
27	26	77	77	1.0	3/8	3/8	Chord	6/8	2	2	1/4		1/4	1	268														
27	26	151/2	151/2	0.5	0	0	Chord	6/8	3	1	1/8		1/8	1	269														
27	26	76	76	1.5	1/8	1/8	Chord	6/8	3	1	3/8		1/4	3/2	270														
27	26	155/2	155/2	0.5	1/2	1/2	Chord	6/8	3	1	1/8		1/8	1	271														
