mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	chord_id	lyrics_1	dynamics	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	TextLine	TextLine_rit.	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	decrescendo_hairpin
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	166	-nen														2
13	13	109/3	109/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	167									20						
13	13	110/3	110/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	168															
13	13	37	37	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	169															
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	170															
13	13	38	38	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	171															
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	172															
13	13	36	36	0.3333333333333333	0	0	Chord	3/4	3	1	1/12		1/8	2/3	173									21						
13	13	109/3	109/3	0.3333333333333333	1/12	1/12	Chord	3/4	3	1	1/12		1/8	2/3	174									21						
13	13	110/3	110/3	0.3333333333333333	1/6	1/6	Chord	3/4	3	1	1/12		1/8	2/3	175															
13	13	37	37	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	176															
13	13	75/2	75/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	177															
13	13	38	38	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	178															
13	13	77/2	77/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	179															
14	14	39	39	0.0	0	0	Spanner	3/4	1	1	0																			
14	14	39	39	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	180	Schein,														
14	14	118/3	118/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	181									22						
14	14	119/3	119/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	182															
14	14	40	40	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	183															
14	14	81/2	81/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	184															
14	14	41	41	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	185															
14	14	83/2	83/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	186															
14	14	39	39	0.3333333333333333	0	0	Chord	3/4	3	1	1/12		1/8	2/3	187									23						
