mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	chord_id	lyrics_1	dynamics	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	TextLine	TextLine_rit.	pedal	Pedal_<sym>keyboardPedalPed</sym>	crescendo_hairpin	decrescendo_hairpin
20	20	59	59	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	279															
20	20	119/2	119/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	280															
20	20	172/3	172/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	2	1/12		1/8	2/3	281									34						
20	20	173/3	173/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	2	1/12		1/8	2/3	282															
20	20	58	58	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	283															
20	20	117/2	117/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8		1/8	1	284															
20	20	59	59	0.5	1/2	1/2	Chord	3/4	2	2	1/8		1/8	1	285															
20	20	119/2	119/2	0.5	5/8	5/8	Chord	3/4	2	2	1/8		1/8	1	286															
20	20	57	57	0.3333333333333333	0	0	Chord	3/4	3	1	1/12		1/8	2/3	287									35						
20	20	172/3	172/3	0.3333333333333333	1/12	1/12	Chord	3/4	3	1	1/12		1/8	2/3	288									35						
20	20	173/3	173/3	0.3333333333333333	1/6	1/6	Chord	3/4	3	1	1/12		1/8	2/3	289															
20	20	58	58	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	290															
20	20	117/2	117/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	291															
20	20	59	59	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	292															
20	20	119/2	119/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	293															
21	21	125/2	125/2	0.0	5/8	5/8	Dynamic	3/4	1	1	0						mf													
21	21	125/2	125/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	294	Im														
21	21	60	60	0.5	0	0	Chord	3/4	2	1	1/8		1/8	1	295															
21	21	121/2	121/2	0.5	1/8	1/8	Chord	3/4	2	1	1/8		1/8	1	296															
21	21	61	61	1.0	1/4	1/4	Chord	3/4	2	1	1/4		1/4	1	297															
21	21	62	62	1.0	1/2	1/2	Chord	3/4	2	1	1/4		1/4	1	298															
21	21	60	60	0.5	0	0	Chord	3/4	3	1	1/8		1/8	1	299															
21	21	121/2	121/2	0.5	1/8	1/8	Chord	3/4	3	1	1/8		1/8	1	300															
21	21	61	61	1.0	1/4	1/4	Chord	3/4	3	1	1/4		1/4	1	301															
21	21	62	62	1.0	1/2	1/2	Chord	3/4	3	1	1/4		1/4	1	302															
22	22	63	63	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	303	Was-														
22	22	129/2	129/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	304	-ser														
22	22	65	65	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	305	um														
22	22	131/2	131/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	306	die														
22	22	63	63	0.0	0	0	Dynamic	3/4	2	1	0						mf													
22	22	190/3	190/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	307									36						
22	22	191/3	191/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	308															
22	22	64	64	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	309															
22	22	129/2	129/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	310															
22	22	65	65	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	311															
22	22	131/2	131/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	312															
22	22	63	63	0.3333333333333333	0	0	Chord	3/4	3	1	1/12		1/8	2/3	313									37						
22	22	190/3	190/3	0.3333333333333333	1/12	1/12	Chord	3/4	3	1	1/12		1/8	2/3	314									37						
22	22	191/3	191/3	0.3333333333333333	1/6	1/6	Chord	3/4	3	1	1/12		1/8	2/3	315															
22	22	64	64	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	316															
22	22	129/2	129/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	317															
22	22	65	65	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	318															
22	22	131/2	131/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	319															
23	23	66	66	0.0	0	0	Spanner	3/4	1	1	0																		5	
23	23	66	66	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	320	Blu-													5	
23	23	68	68	1.0	1/2	1/2	Chord	3/4	1	1	1/4		1/4	1	321	-me													5	
23	23	199/3	199/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	322									38						
23	23	200/3	200/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	323															
23	23	67	67	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	324															
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	325															
23	23	68	68	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	326															
23	23	137/2	137/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	327															
23	23	66	66	0.3333333333333333	0	0	Chord	3/4	3	1	1/12		1/8	2/3	328									39						
23	23	199/3	199/3	0.3333333333333333	1/12	1/12	Chord	3/4	3	1	1/12		1/8	2/3	329									39						
23	23	200/3	200/3	0.3333333333333333	1/6	1/6	Chord	3/4	3	1	1/12		1/8	2/3	330															
23	23	67	67	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	331															
23	23	135/2	135/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	332															
23	23	68	68	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	333															
23	23	137/2	137/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	334															
24	24	69	69	0.0	0	0	Spanner	3/4	1	1	0																			
24	24	69	69	0.0	0	0	Spanner	3/4	1	1	0																			4
24	24	69	69	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	335	krei-														4
24	24	70	70	0.5	1/4	1/4	Chord	3/4	1	1	1/8		1/8	1	336	-set														4
24	24	141/2	141/2	0.0	3/8	3/8	Spanner	3/4	1	1	0																			
24	24	141/2	141/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	337	ein														
24	24	71	71	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	338	weis-														
24	24	143/2	143/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	339	-ser														
24	24	208/3	208/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	340									40						
24	24	209/3	209/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	341															
24	24	70	70	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	342															
24	24	141/2	141/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	343															
24	24	71	71	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	344															
24	24	143/2	143/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	345															
24	24	69	69	0.3333333333333333	0	0	Chord	3/4	3	1	1/12		1/8	2/3	346									41						
24	24	208/3	208/3	0.3333333333333333	1/12	1/12	Chord	3/4	3	1	1/12		1/8	2/3	347									41						
24	24	209/3	209/3	0.3333333333333333	1/6	1/6	Chord	3/4	3	1	1/12		1/8	2/3	348															
24	24	70	70	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	349															
24	24	141/2	141/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	350															
24	24	71	71	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	351															
24	24	143/2	143/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	352															
25	25	72	72	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	353	Schwan,														
25	25	149/2	149/2	0.0	5/8	5/8	Dynamic	3/4	1	1	0						p													
25	25	149/2	149/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	354	er														
25	25	217/3	217/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	355									42						
25	25	218/3	218/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	356															
25	25	73	73	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	357															
25	25	147/2	147/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	358															
25	25	74	74	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	359															
25	25	149/2	149/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	360															
25	25	72	72	0.3333333333333333	0	0	Chord	3/4	3	1	1/12		1/8	2/3	361									43						
25	25	217/3	217/3	0.3333333333333333	1/12	1/12	Chord	3/4	3	1	1/12		1/8	2/3	362									43						
25	25	218/3	218/3	0.3333333333333333	1/6	1/6	Chord	3/4	3	1	1/12		1/8	2/3	363															
25	25	73	73	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	364															
25	25	147/2	147/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	365															
25	25	74	74	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	366															
25	25	149/2	149/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	367															
26	26	75	75	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	368	singt														
26	26	153/2	153/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	369	so														
26	26	77	77	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	370	süss,														
26	26	155/2	155/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	371	so														
26	26	226/3	226/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	372									44						
26	26	227/3	227/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	373															
26	26	76	76	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	374															
26	26	153/2	153/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	375															
26	26	155/2	155/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	376															
26	26	75	75	0.3333333333333333	0	0	Chord	3/4	3	1	1/12		1/8	2/3	377									45						
26	26	226/3	226/3	0.3333333333333333	1/12	1/12	Chord	3/4	3	1	1/12		1/8	2/3	378									45						
26	26	227/3	227/3	0.3333333333333333	1/6	1/6	Chord	3/4	3	1	1/12		1/8	2/3	379															
26	26	76	76	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	380															
26	26	153/2	153/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	381															
26	26	77	77	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	382															
26	26	155/2	155/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	383															
27	27	78	78	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	384	lei-														
27	27	79	79	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	385	-se														
27	27	161/2	161/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	386	und														
27	27	235/3	235/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	387									46						
27	27	236/3	236/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	388															
27	27	79	79	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	389															
27	27	159/2	159/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	390															
27	27	80	80	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	391															
27	27	161/2	161/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	392															
27	27	78	78	0.3333333333333333	0	0	Chord	3/4	3	1	1/12		1/8	2/3	393															
27	27	235/3	235/3	0.3333333333333333	1/12	1/12	Chord	3/4	3	1	1/12		1/8	2/3	394															
27	27	236/3	236/3	0.3333333333333333	1/6	1/6	Chord	3/4	3	1	1/12		1/8	2/3	395															
27	27	79	79	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	396															
27	27	159/2	159/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	397															
27	27	80	80	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	398															
27	27	161/2	161/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	399															
28	28	81	81	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	400	schaut														
28	28	165/2	165/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	401	die														
28	28	83	83	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	402	Blu-														
28	28	167/2	167/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	403	-me														
28	28	244/3	244/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	404									47						
28	28	245/3	245/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	405															
28	28	82	82	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	406															
28	28	165/2	165/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	407															
28	28	167/2	167/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	408															
28	28	81	81	0.3333333333333333	0	0	Chord	3/4	3	1	1/12		1/8	2/3	409									48						
28	28	244/3	244/3	0.3333333333333333	1/12	1/12	Chord	3/4	3	1	1/12		1/8	2/3	410									48						
28	28	245/3	245/3	0.3333333333333333	1/6	1/6	Chord	3/4	3	1	1/12		1/8	2/3	411															
28	28	82	82	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	412															
28	28	165/2	165/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	413															
28	28	83	83	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	414															
28	28	167/2	167/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	415															
29	29	84	84	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	416	an.														
29	29	173/2	173/2	0.0	5/8	5/8	Dynamic	3/4	1	1	0						pp													
29	29	173/2	173/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	417	Er														
29	29	253/3	253/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	418									49						
29	29	254/3	254/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	419															
29	29	85	85	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	420															
29	29	171/2	171/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	421															
29	29	86	86	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	422															
29	29	173/2	173/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	423															
29	29	84	84	0.3333333333333333	0	0	Chord	3/4	3	1	1/12		1/8	2/3	424									50						
29	29	253/3	253/3	0.3333333333333333	1/12	1/12	Chord	3/4	3	1	1/12		1/8	2/3	425									50						
29	29	254/3	254/3	0.3333333333333333	1/6	1/6	Chord	3/4	3	1	1/12		1/8	2/3	426															
29	29	85	85	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	427															
29	29	171/2	171/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	428															
29	29	86	86	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	429															
29	29	173/2	173/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	430															
30	30	87	87	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	431	singt														
30	30	177/2	177/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	432	so														
30	30	89	89	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	433	süss,														
30	30	179/2	179/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	434	so														
30	30	87	87	0.0	0	0	Dynamic	3/4	2	1	0						pp													
30	30	262/3	262/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	435									51						
30	30	263/3	263/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	436															
30	30	88	88	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	437															
30	30	177/2	177/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	438															
30	30	89	89	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	439															
30	30	179/2	179/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	440															
30	30	87	87	0.3333333333333333	0	0	Chord	3/4	3	1	1/12		1/8	2/3	441									52						
30	30	262/3	262/3	0.3333333333333333	1/12	1/12	Chord	3/4	3	1	1/12		1/8	2/3	442									52						
30	30	263/3	263/3	0.3333333333333333	1/6	1/6	Chord	3/4	3	1	1/12		1/8	2/3	443															
30	30	88	88	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	444															
30	30	177/2	177/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	445															
30	30	89	89	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	446															
30	30	179/2	179/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	447															
31	31	90	90	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	448	lei-														
31	31	91	91	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	449	-se														
31	31	185/2	185/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	450	und														
31	31	271/3	271/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	451									53						
31	31	272/3	272/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	452															
31	31	91	91	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	453															
31	31	183/2	183/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	454															
31	31	92	92	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	455															
31	31	185/2	185/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	456															
31	31	90	90	0.3333333333333333	0	0	Chord	3/4	3	1	1/12		1/8	2/3	457									54						
31	31	271/3	271/3	0.3333333333333333	1/12	1/12	Chord	3/4	3	1	1/12		1/8	2/3	458									54						
31	31	272/3	272/3	0.3333333333333333	1/6	1/6	Chord	3/4	3	1	1/12		1/8	2/3	459															
31	31	91	91	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	460															
31	31	183/2	183/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	461															
31	31	92	92	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	462															
31	31	185/2	185/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	463															
32	32	93	93	1.5	0	0	Chord	3/4	1	1	3/8		1/4	3/2	464	will														
32	32	189/2	189/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8		1/8	1	465	im														
32	32	95	95	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	466	Sin-														
32	32	191/2	191/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16		1/16	1	467	-gen														
32	32	383/4	383/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16		1/16	1	468	ver-														
32	32	280/3	280/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	469									55						
32	32	281/3	281/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	470															
32	32	94	94	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	471															
32	32	189/2	189/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	472															
32	32	95	95	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	473															
32	32	191/2	191/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	474															
32	32	93	93	0.3333333333333333	0	0	Chord	3/4	3	1	1/12		1/8	2/3	475									56						
32	32	280/3	280/3	0.3333333333333333	1/12	1/12	Chord	3/4	3	1	1/12		1/8	2/3	476									56						
32	32	281/3	281/3	0.3333333333333333	1/6	1/6	Chord	3/4	3	1	1/12		1/8	2/3	477															
32	32	94	94	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	478															
32	32	189/2	189/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	479															
32	32	95	95	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	480															
32	32	191/2	191/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	481															
33	33	96	96	2.0	0	0	Chord	3/4	1	1	1/2		1/2	1	482	-gehn.														
33	33	289/3	289/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	483									57						
33	33	290/3	290/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	484															
33	33	97	97	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	485															
33	33	195/2	195/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	486															
33	33	98	98	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	487															
33	33	197/2	197/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	488															
33	33	96	96	0.3333333333333333	0	0	Chord	3/4	3	1	1/12		1/8	2/3	489									58						
33	33	289/3	289/3	0.3333333333333333	1/12	1/12	Chord	3/4	3	1	1/12		1/8	2/3	490									58						
33	33	290/3	290/3	0.3333333333333333	1/6	1/6	Chord	3/4	3	1	1/12		1/8	2/3	491															
33	33	97	97	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	492															
33	33	195/2	195/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	493															
33	33	98	98	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	494															
33	33	197/2	197/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	495															
34	34	99	99	1.0	0	0	Chord	3/4	2	1	1/4		1/4	1	496															
34	34	100	100	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	497															
34	34	201/2	201/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	498															
34	34	101	101	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	499															
34	34	203/2	203/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	500															
34	34	199/2	199/2	0.5	1/8	1/8	Chord	3/4	2	2	1/8		1/8	1	501															
34	34	100	100	0.5	1/4	1/4	Chord	3/4	2	2	1/8		1/8	1	502															
34	34	298/3	298/3	0.3333333333333333	1/12	1/12	Chord	3/4	3	1	1/12		1/8	2/3	503									59						
34	34	299/3	299/3	0.3333333333333333	1/6	1/6	Chord	3/4	3	1	1/12		1/8	2/3	504															
34	34	100	100	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	505															
34	34	201/2	201/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	506															
34	34	101	101	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	507															
34	34	203/2	203/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	508															
34	34	99	99	1.0	0	0	Chord	3/4	3	2	1/4		1/4	1	509															
34	34	100	100	0.5	1/4	1/4	Chord	3/4	3	2	1/8		1/8	1	510															
35	35	209/2	209/2	0.0	5/8	5/8	Tempo	3/4	1	1	0								Innig	65.0			1.0							
35	35	209/2	209/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	511	O														
35	35	102	102	0.3333333333333333	0	0	Chord	3/4	2	1	1/12		1/8	2/3	512									60						
35	35	307/3	307/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	513									60						
35	35	308/3	308/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	514															
35	35	103	103	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	515															
35	35	207/2	207/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	516															
35	35	104	104	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	517															
35	35	209/2	209/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	518															
35	35	102	102	0.3333333333333333	0	0	Chord	3/4	3	1	1/12		1/8	2/3	519									61						
35	35	307/3	307/3	0.3333333333333333	1/12	1/12	Chord	3/4	3	1	1/12		1/8	2/3	520									61						
35	35	308/3	308/3	0.3333333333333333	1/6	1/6	Chord	3/4	3	1	1/12		1/8	2/3	521															
35	35	103	103	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	522															
35	35	207/2	207/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	523															
35	35	104	104	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	524															
35	35	209/2	209/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	525															
36	36	105	105	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	526	Blu-														
36	36	106	106	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	527	-me,														
36	36	107	107	0.5	1/2	1/2	Chord	3/4	1	1	1/8		1/8	1	528	weis-														
36	36	215/2	215/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	529	-se														
36	36	316/3	316/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	530									62						
36	36	317/3	317/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	531															
36	36	106	106	0.5	1/4	1/4	Chord	3/4	2	1	1/8		1/8	1	532															
36	36	213/2	213/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8		1/8	1	533															
36	36	107	107	0.5	1/2	1/2	Chord	3/4	2	1	1/8		1/8	1	534															
36	36	215/2	215/2	0.5	5/8	5/8	Chord	3/4	2	1	1/8		1/8	1	535															
36	36	105	105	0.3333333333333333	0	0	Chord	3/4	3	1	1/12		1/8	2/3	536									63						
36	36	316/3	316/3	0.3333333333333333	1/12	1/12	Chord	3/4	3	1	1/12		1/8	2/3	537									63						
36	36	317/3	317/3	0.3333333333333333	1/6	1/6	Chord	3/4	3	1	1/12		1/8	2/3	538															
36	36	106	106	0.5	1/4	1/4	Chord	3/4	3	1	1/8		1/8	1	539															
36	36	213/2	213/2	0.5	3/8	3/8	Chord	3/4	3	1	1/8		1/8	1	540															
36	36	107	107	0.5	1/2	1/2	Chord	3/4	3	1	1/8		1/8	1	541															
36	36	215/2	215/2	0.5	5/8	5/8	Chord	3/4	3	1	1/8		1/8	1	542															
37	37	108	108	1.0	0	0	Chord	3/4	1	1	1/4		1/4	1	543	Blu-														
37	37	109	109	1.0	1/4	1/4	Chord	3/4	1	1	1/4		1/4	1	544	-me,														
37	37	221/2	221/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8		1/8	1	545	kannst														
37	37	325/3	325/3	0.3333333333333333	1/12	1/12	Chord	3/4	2	1	1/12		1/8	2/3	546									64						
37	37	326/3	326/3	0.3333333333333333	1/6	1/6	Chord	3/4	2	1	1/12		1/8	2/3	547															
