mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>	diminuendo_line	decrescendo_hairpin	crescendo_hairpin
2	2	11/2	11/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	20														
2	2	3	3	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	21									2					
2	2	7/2	7/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	22									2					
2	2	4	4	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	23									2					
2	2	9/2	9/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	24									2					
2	2	5	5	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	25									2					
2	2	11/2	11/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	26														
3	3	6	6	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	27	-gan-													
3	3	7	7	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	28	-gen,													
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	29	mit													
3	3	7	7	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	30									3					
3	3	15/2	15/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	31									3					
3	3	8	8	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	32									3					
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	33									3					
3	3	6	6	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	34									4					
3	3	13/2	13/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	35									4					
3	3	7	7	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	36									4					
3	3	15/2	15/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	37									4					
3	3	8	8	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	38									4					
3	3	17/2	17/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	39									4					
4	4	9	9	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	40	sei-													
4	4	10	10	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	41	-nem													
4	4	21/2	21/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	42	gold'-													
4	4	11	11	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	43														
4	4	23/2	23/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	44	nen													
4	4	9	9	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	45									3					
4	4	19/2	19/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	46									3					
4	4	10	10	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	47									3					
4	4	21/2	21/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	48									3					
4	4	11	11	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	49									3					
4	4	23/2	23/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	50														
4	4	9	9	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	51									4					
4	4	19/2	19/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	52									4					
4	4	10	10	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	53									4					
4	4	21/2	21/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	54									4					
4	4	11	11	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	55									4					
4	4	23/2	23/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	56														
5	5	12	12	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	57	Schein,													
5	5	27/2	27/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	58														
5	5	29/2	29/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	59	da													
5	5	13	13	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	60														
5	5	27/2	27/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	61														
5	5	14	14	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	62														
5	5	29/2	29/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	63														
5	5	12	12	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	64									5					
5	5	25/2	25/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	65														
5	5	13	13	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	66														
5	5	27/2	27/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	67														
5	5	14	14	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	68														
5	5	29/2	29/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	69														
6	6	15	15	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	70	schläft													
6	6	16	16	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	71	in													
6	6	33/2	33/2	0.0	3/8	3/8	Spanner	6/8	1	1	0																	0
6	6	33/2	33/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	72	hol-													0
6	6	17	17	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	73														0
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	74	-dem													0
6	6	31/2	31/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	75														
6	6	16	16	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	76														
6	6	33/2	33/2	0.0	3/8	3/8	Spanner	6/8	2	1	0																	1
6	6	33/2	33/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	77														1
6	6	17	17	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	78														1
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	79														1
6	6	15	15	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	80														
6	6	31/2	31/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	81														
6	6	16	16	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	82														
6	6	33/2	33/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	83														
6	6	17	17	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	84														
6	6	35/2	35/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	85														
7	7	18	18	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	86	Pran-													0
7	7	19	19	0.0	1/4	1/4	Spanner	6/8	1	1	0																	
7	7	19	19	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	87	-gen													
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	88	die													
7	7	37/2	37/2	0.0	1/8	1/8	Spanner	6/8	2	1	0																	
7	7	37/2	37/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	89														
7	7	19	19	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	90														
7	7	39/2	39/2	0.0	3/8	3/8	Spanner	6/8	2	1	0																0	
7	7	39/2	39/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	91													0	
7	7	20	20	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	92													0	
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	93													0	
7	7	18	18	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	94														
7	7	37/2	37/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	95														
7	7	19	19	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	96														
7	7	39/2	39/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	97														
7	7	20	20	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	98														
7	7	41/2	41/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	99														
8	8	21	21	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	100	mü-													
8	8	22	22	0.0	1/4	1/4	Spanner	6/8	1	1	0																1	
8	8	22	22	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	101	-de												1	
8	8	45/2	45/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	102	Er-												1	
8	8	47/2	47/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	103	-de												1	
8	8	21	21	0.0	0	0	Spanner	6/8	2	1	0																	
8	8	43/2	43/2	0.0	1/8	1/8	Spanner	6/8	2	1	0																	2
8	8	43/2	43/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	104														2
8	8	22	22	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	105														2
8	8	45/2	45/2	0.0	3/8	3/8	Spanner	6/8	2	1	0																	
8	8	45/2	45/2	0.0	3/8	3/8	Spanner	6/8	2	1	0																2	
8	8	45/2	45/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	106													2	
8	8	23	23	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	107													2	
8	8	47/2	47/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	108													2	
8	8	21	21	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	109														
8	8	43/2	43/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	110														
8	8	22	22	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	111														
8	8	45/2	45/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	112														
8	8	23	23	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	113														
8	8	47/2	47/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	114														
9	9	24	24	0.0	0	0	Spanner	6/8	1	1	0																	
9	9	24	24	3.0	0	0	Chord	6/8	1	1	3/4	1/2	3/2	115	ein.													
9	9	24	24	0.0	0	0	Spanner	6/8	2	1	0																	
9	9	25	25	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	116									6					
9	9	51/2	51/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	117									6					
9	9	26	26	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	118									6					
9	9	53/2	53/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	119														
9	9	24	24	0.0	0	0	Spanner	6/8	3	1	0													0	0			
9	9	24	24	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	120									7	0	0			
9	9	49/2	49/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	121									7	0	0			
9	9	25	25	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	122									7	0	0			
9	9	51/2	51/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	123									7	0	0			
9	9	26	26	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	124									7	0	0			
9	9	53/2	53/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	125										0	0			
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	126	2. Und													
10	10	28	28	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	127									8					
10	10	57/2	57/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	128									8					
10	10	29	29	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	129									8					
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	130									8					
10	10	27	27	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	131									9	0	0			
10	10	55/2	55/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	132									9	0	0			
10	10	28	28	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	133									9	0	0			
10	10	57/2	57/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	134									9	0	0			
10	10	29	29	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	135									9	0	0			
10	10	59/2	59/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	136									9	0	0			
10	10	27	27	1.5	0	0	Chord	6/8	3	2	3/8	1/4	3/2	137										0	0			
11	11	30	30	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	138	auf													
11	11	31	31	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	139	den													
11	11	63/2	63/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	140	Lüf-													
11	11	65/2	65/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	141	-ten													
11	11	30	30	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	142									8					
11	11	61/2	61/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	143									8					
11	11	31	31	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	144									8					
11	11	63/2	63/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	145									8					
11	11	32	32	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	146									8					
11	11	65/2	65/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	147														
11	11	30	30	0.0	0	0	Spanner	6/8	3	1	0												9					
11	11	30	30	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	148									9					
11	11	61/2	61/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	149									9					
11	11	31	31	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	150									9					
11	11	63/2	63/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	151									9					
11	11	32	32	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	152									9					
11	11	65/2	65/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	153														
12	12	33	33	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	154	schwan-													
12	12	34	34	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	155	-ken,													
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	156	aus													
12	12	34	34	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	157									10					
12	12	69/2	69/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	158									10					
12	12	35	35	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	159									10					
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	160									10					
12	12	33	33	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	161									11					
12	12	67/2	67/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	162									11					
12	12	34	34	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	163									11					
12	12	69/2	69/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	164									11					
12	12	35	35	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	165									11					
12	12	71/2	71/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	166									11					
13	13	36	36	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	167	man-													
13	13	37	37	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	168	-chem													
13	13	75/2	75/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	169	treu-													
13	13	38	38	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	170														
13	13	77/2	77/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	171	-en													
13	13	36	36	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	172									10					
13	13	73/2	73/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	173									10					
13	13	37	37	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	174									10					
13	13	75/2	75/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	175									10					
13	13	38	38	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	176									10					
13	13	77/2	77/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	177														
13	13	36	36	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	178									11					
13	13	73/2	73/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	179									11					
13	13	37	37	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	180									11					
13	13	75/2	75/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	181									11					
13	13	38	38	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	182									11					
13	13	77/2	77/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	183														
14	14	39	39	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	184	Sinn,													
14	14	81/2	81/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	185														
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	186	viel													
14	14	40	40	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	187														
14	14	81/2	81/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	188														
14	14	41	41	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	189														
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	190														
14	14	39	39	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	191									12					
14	14	79/2	79/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	192									12					
14	14	40	40	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	193									12					
14	14	81/2	81/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	194									12					
14	14	41	41	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	195									12					
14	14	83/2	83/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	196									12					
15	15	42	42	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	197	tau-													
15	15	43	43	0.0	1/4	1/4	Spanner	6/8	1	1	0																	3
15	15	43	43	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	198	-send													3
15	15	87/2	87/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	199	Lie-													3
15	15	44	44	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	200	-bes-													3
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	201	-ge-													3
15	15	85/2	85/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	202														
15	15	43	43	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	203														
15	15	87/2	87/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	204														
15	15	44	44	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	205														
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	206														
15	15	42	42	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	207									12					
15	15	85/2	85/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	208									12					
15	15	43	43	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	209									12					
15	15	87/2	87/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	210									12					
15	15	44	44	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	211									12					
15	15	89/2	89/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	212														
16	16	45	45	0.0	0	0	Spanner	6/8	1	1	0																	
16	16	45	45	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	213	-dan-													
16	16	46	46	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	214	-ken,													
16	16	91/2	91/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	215														
16	16	46	46	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	216														
16	16	93/2	93/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	217														
16	16	47	47	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	218														
16	16	95/2	95/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	219														
16	16	45	45	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	220														
16	16	91/2	91/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	221														
16	16	46	46	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	222														
16	16	93/2	93/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	223														
16	16	47	47	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	224														
16	16	95/2	95/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	225														
17	17	48	48	0.5	0	0	Chord	6/8	1	1	1/8	1/8	1	226	ü-													
17	17	97/2	97/2	0.5	1/8	1/8	Chord	6/8	1	1	1/8	1/8	1	227	-ber													
17	17	49	49	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	228	die													
17	17	99/2	99/2	0.0	3/8	3/8	Spanner	6/8	1	1	0																3	
17	17	99/2	99/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	229	Schlä-												3	
17	17	101/2	101/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	230	-fer												3	
17	17	97/2	97/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	231														
17	17	49	49	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	232														
17	17	99/2	99/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	233														
17	17	50	50	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	234														
17	17	101/2	101/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	235														
17	17	48	48	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	236														
17	17	97/2	97/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	237														
17	17	49	49	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	238														
17	17	99/2	99/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	239														
17	17	50	50	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	240														
17	17	101/2	101/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	241														
18	18	51	51	0.0	0	0	Spanner	6/8	1	1	0																	
18	18	51	51	3.0	0	0	Chord	6/8	1	1	3/4	1/2	3/2	242	hin.													
18	18	52	52	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	243														
18	18	105/2	105/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	244														
18	18	53	53	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	245														
18	18	107/2	107/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	246														
18	18	51	51	0.0	0	0	Spanner	6/8	3	1	0													1	1			
18	18	51	51	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	247										1	1			
18	18	103/2	103/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	248										1	1			
18	18	52	52	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	249										1	1			
18	18	105/2	105/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	250										1	1			
18	18	53	53	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	251										1	1			
18	18	107/2	107/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	252										1	1			
19	19	113/2	113/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	253	3. Und													
19	19	55	55	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	254														
19	19	111/2	111/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	255														
19	19	56	56	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	256														
19	19	113/2	113/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	257														
19	19	54	54	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	258										1	1			
19	19	109/2	109/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	259										1	1			
19	19	55	55	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	260										1	1			
19	19	111/2	111/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	261										1	1			
19	19	56	56	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	262										1	1			
