mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
22	22	129/2	129/2	1.5	3/8	3/8	Chord	6/8	1	1	3/8	1/4	3/2	250	Traum;										
22	22	63	63	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	251											
22	22	127/2	127/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	252											
22	22	64	64	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	253											
22	22	129/2	129/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	254											
22	22	131/2	131/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	255											
22	22	63	63	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	256											
22	22	127/2	127/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	257											
22	22	64	64	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	258											
22	22	129/2	129/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	259											
22	22	63	63	1.5	0	0	Chord	6/8	3	2	3/8	1/4	3/2	260											
22	22	129/2	129/2	1.5	3/8	3/8	Chord	6/8	3	2	3/8	1/4	3/2	261											
23	23	66	66	3.0	0	0	Chord	6/8	1	1	3/4	1/2	3/2	262											
23	23	66	66	0.75	0	0	Chord	6/8	2	1	3/16	1/8	3/2	263											
23	23	267/4	267/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16	1/16	1	264											
23	23	67	67	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	265											
23	23	135/2	135/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	266											
23	23	135/2	135/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	267											
23	23	66	66	3.0	0	0	Chord	6/8	3	2	3/4	1/2	3/2	268											
24	24	69	69	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	269											
24	24	143/2	143/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	270	Sie										
24	24	69	69	1.0	0	0	Chord	6/8	2	1	1/4	1/4	1	271											
24	24	69	69	1.0	0	0	Chord	6/8	3	1	1/4	1/4	1	272											
24	24	69	69	1.0	0	0	Chord	6/8	3	2	1/4	1/4	1	273											
25	25	72	72	0.0	0	0	Dynamic	6/8	1	1	0					mf									
25	25	72	72	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	274	wa-										
25	25	73	73	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	275	-ren										
25	25	147/2	147/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	276	längst										
25	25	149/2	149/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	277	ge-										
25	25	72	72	0.0	0	0	Dynamic	6/8	2	1	0					mf									
25	25	72	72	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	278											
25	25	147/2	147/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	279											
25	25	149/2	149/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	280											
25	25	149/2	149/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	281											
25	25	72	72	3.0	0	0	Chord	6/8	3	2	3/4	1/2	3/2	282											
26	26	75	75	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	283	-stor-										
26	26	153/2	153/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	284	-ben										
26	26	155/2	155/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	285	und										
26	26	75	75	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	286									22		
26	26	153/2	153/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	287											
26	26	75	75	1.5	0	0	Chord	6/8	3	1	3/8	1/4	3/2	288											
26	26	153/2	153/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	289											
26	26	75	75	1.5	0	0	Chord	6/8	3	2	3/8	1/4	3/2	290									23		
26	26	153/2	153/2	1.0	3/8	3/8	Chord	6/8	3	2	1/4	1/4	1	291											
27	27	78	78	0.0	0	0	Dynamic	6/8	1	1	0					p									
27	27	78	78	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	292	wuss-								24		
27	27	79	79	0.5	1/4	1/4	Chord	6/8	1	1	1/8	1/8	1	293											
27	27	159/2	159/2	1.0	3/8	3/8	Chord	6/8	1	1	1/4	1/4	1	294	-ten										
27	27	161/2	161/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	295	es										
27	27	78	78	0.0	0	0	Dynamic	6/8	2	1	0					p									
27	27	79	79	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	296									25		
27	27	159/2	159/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	297									25		
27	27	161/2	161/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	298									25		
27	27	78	78	1.5	0	0	Chord	6/8	3	1	3/8	1/4	3/2	299											
27	27	159/2	159/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	300											
27	27	161/2	161/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	301											
28	28	81	81	1.5	0	0	Chord	6/8	1	1	3/8	1/4	3/2	302	sel-										
28	28	165/2	165/2	0.5	3/8	3/8	Chord	6/8	1	1	1/8	1/8	1	303											
28	28	83	83	0.5	1/2	1/2	Chord	6/8	1	1	1/8	1/8	1	304											
28	28	167/2	167/2	0.5	5/8	5/8	Chord	6/8	1	1	1/8	1/8	1	305	-ber										
28	28	81	81	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	306									25		
28	28	165/2	165/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	307											
28	28	81	81	3.0	0	0	Chord	6/8	2	2	3/4	1/2	3/2	308											
28	28	81	81	3.0	0	0	Chord	6/8	3	1	3/4	1/2	3/2	309											
29	29	84	84	3.0	0	0	Chord	6/8	1	1	3/4	1/2	3/2	310	kaum.										
29	29	84	84	0.0	0	0	Dynamic	6/8	2	1	0					pp									
29	29	169/2	169/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	311									26		
29	29	85	85	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	312									26		
29	29	171/2	171/2	0.0	3/8	3/8	Spanner	6/8	2	1	0												26	6	
29	29	171/2	171/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	313									26	6	
29	29	173/2	173/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	314										6	
29	29	84	84	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	315									27		
29	29	169/2	169/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	316									27		
29	29	85	85	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	317									27		
29	29	171/2	171/2	1.0	3/8	3/8	Chord	6/8	3	1	1/4	1/4	1	318									27		
29	29	173/2	173/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	319											
30	30	87	87	1.0	0	0	Chord	6/8	1	1	1/4	1/4	1	320											
30	30	87	87	0.0	0	0	Spanner	6/8	2	1	0														
30	30	175/2	175/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	321									28		
30	30	88	88	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	322									28		
30	30	177/2	177/2	0.0	3/8	3/8	Spanner	6/8	2	1	0												28	7	
30	30	177/2	177/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	323									28	7	
30	30	179/2	179/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	324										7	
30	30	177/2	177/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8	1/4	3/2	325										7	
30	30	87	87	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	326									29		
30	30	175/2	175/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	327									29		
30	30	88	88	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	328									29		
30	30	177/2	177/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	329									29		
30	30	177/2	177/2	1.0	3/8	3/8	Chord	6/8	3	2	1/4	1/4	1	330											
30	30	179/2	179/2	0.5	5/8	5/8	Chord	6/8	3	2	1/8	1/8	1	331											
31	31	90	90	0.0	0	0	Spanner	6/8	2	1	0														
31	31	181/2	181/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	332									30		
31	31	91	91	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	333									30		
31	31	183/2	183/2	0.5	3/8	3/8	Chord	6/8	2	1	1/8	1/8	1	334									30		
31	31	92	92	0.5	1/2	1/2	Chord	6/8	2	1	1/8	1/8	1	335									30		
31	31	185/2	185/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	336									30		
31	31	183/2	183/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8	1/4	3/2	337											
31	31	90	90	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	338									31		
31	31	181/2	181/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	339									31		
31	31	91	91	0.5	1/4	1/4	Chord	6/8	3	1	1/8	1/8	1	340									31		
31	31	183/2	183/2	0.5	3/8	3/8	Chord	6/8	3	1	1/8	1/8	1	341									31		
31	31	92	92	0.5	1/2	1/2	Chord	6/8	3	1	1/8	1/8	1	342									31		
31	31	185/2	185/2	0.5	5/8	5/8	Chord	6/8	3	1	1/8	1/8	1	343									31		
32	32	93	93	0.5	0	0	Chord	6/8	2	1	1/8	1/8	1	344									30		
32	32	187/2	187/2	0.5	1/8	1/8	Chord	6/8	2	1	1/8	1/8	1	345									30		
32	32	94	94	0.5	1/4	1/4	Chord	6/8	2	1	1/8	1/8	1	346									30		
32	32	189/2	189/2	1.0	3/8	3/8	Chord	6/8	2	1	1/4	1/4	1	347									30		
32	32	191/2	191/2	0.5	5/8	5/8	Chord	6/8	2	1	1/8	1/8	1	348									30		
32	32	93	93	1.0	0	0	Chord	6/8	2	2	1/4	1/4	1	349											
32	32	94	94	0.5	1/4	1/4	Chord	6/8	2	2	1/8	1/8	1	350											
32	32	189/2	189/2	1.5	3/8	3/8	Chord	6/8	2	2	3/8	1/4	3/2	351											
32	32	93	93	0.5	0	0	Chord	6/8	3	1	1/8	1/8	1	352									31		
32	32	187/2	187/2	0.5	1/8	1/8	Chord	6/8	3	1	1/8	1/8	1	353									31		
32	32	93	93	1.5	0	0	Chord	6/8	3	2	3/8	1/4	3/2	354											
32	32	189/2	189/2	1.5	3/8	3/8	Chord	6/8	3	2	3/8	1/4	3/2	355											
33	33	96	96	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	356											
33	33	195/2	195/2	1.5	3/8	3/8	Chord	6/8	2	1	3/8	1/4	3/2	357											
33	33	96	96	1.5	0	0	Chord	6/8	3	1	3/8	1/4	3/2	358											
33	33	195/2	195/2	1.5	3/8	3/8	Chord	6/8	3	1	3/8	1/4	3/2	359									32		
34	34	99	99	1.5	0	0	Chord	6/8	2	1	3/8	1/4	3/2	360											
34	34	99	99	1.5	0	0	Chord	6/8	3	1	3/8	1/4	3/2	361											
